gene	PearsonCorrelation
CFH	-0.177276966125292
NFYA	0.0876732794788045
NIPAL3	0.311484858838616
ENPP4	0.119464526065439
CFTR	-0.0493336747059425
ANKIB1	-0.0213858658403944
KRIT1	-0.111187420505478
RAD52	0.219734799597273
LAP3	-0.175489302780493
HECW1	0.219385905867814
MAD1L1	-0.149600890580988
SNX11	0.363570676211997
TMEM176A	0.0574600070340938
M6PR	0.166218284526904
ALS2	0.192107490951071
CFLAR	-0.285081768950575
TFPI	-0.0822747985951379
ARF5	-0.0727058038191025
POLDIP2	0.375492500304605
PLXND1	0.182990501311891
FKBP4	0.0951994980316671
KDM1A	0.239789893052837
RBM6	0.259544344026524
RECQL	0.0504483465317013
CCDC132	NA
SLC22A16	-0.0747629853506408
ABCB5	0.261616400359009
SLC25A13	-0.291495153052114
ST7	0.100859446661751
CDC27	0.124750246631063
DVL2	NA
SKAP2	NA
POLR2J	0.0680015970062219
DHX33	0.196910194001729
MEOX1	-0.222866952167959
LIG3	0.205006989308078
PRKAR2B	-0.110864298552654
BZRAP1	0.0363198067073679
PON1	-0.0418559547932461
WDR54	-0.19736619281886
CROT	0.599509793752083
IBTK	0.00404223072932417
ZNF195	0.370582811842231
MYCBP2	0.276322980144248
PDK2	0.15778663342131
ITGA3	0.153974370810452
GGNBP2	0.0437009867937844
ASB4	0.394095066347602
GDE1	0.351958618742501
OSBPL7	0.229969069949996
TMEM98	0.304353721073752
ABCC8	0.0471346769431992
SYNRG	0.0164432770021997
CACNG3	NA
TMEM132A	0.00602835782867473
TAC1	0.0709310975821723
ZNF263	0.0561956485456645
SPATA20	0.617418597716254
TNFRSF12A	-0.118289036742628
MAP3K9	-0.102007982236968
JHDM1D	-0.0163792971747524
AGK	-0.0425548828694561
ALDH3B1	-0.081992698542834
PHTF2	0.0734126157182426
FARP2	0.366492454372387
USH1C	0.0988225097207868
IFRD1	0.259768950413107
LGALS14	-0.113722889581658
COX10	-0.0772539282998317
GTF2IRD1	0.0322392468897829
VPS41	0.257725842861524
ELAC2	0.446765131946395
MYH13	-0.347998174902258
CDKL3	0.18323246239732
UPP2	-0.337720878560063
CCDC124	0.105405719948259
CEACAM21	0.560910678651679
NOS2	0.557493619360056
DNAH9	0.118471466476466
KIAA0100	-0.262068727746191
SLC13A2	-0.191572752986723
TRAPPC6A	0.124210572191916
MATK	0.190422854850423
CEACAM7	-0.297325819648039
ST7L	0.714694656822918
RPUSD1	-0.103052190281147
RHBDF1	-0.00407675015433985
BAIAP3	-0.0202806699167567
TEAD3	-0.00701184999143498
PSMB1	-0.324016957121957
CDK11A	0.139114094423124
TFAP2B	0.313067303568864
TFAP2D	0.0543154502105683
CELSR3	0.21527897362535
AASS	0.0602813267183634
PLEKHG6	-0.0227258681970147
MPND	-0.0235777245060081
PGLYRP1	-0.113100560059428
ST3GAL1	0.0371977986757785
MMP25	-0.0660924837826336
IL32	0.0943902795211197
PKD1	-0.0342349395342133
MAPK8IP2	0.255879962782113
MED24	-0.00555607894817346
HEATR5B	0.247874009190845
RPS20	-0.0454260378516375
UBE3C	-0.0727961580948377
REV3L	NA
PAX7	-0.16622992480058
TRAF3IP3	0.121638135216139
MLXIPL	-0.14721114531142
ZNF207	0.160853280933757
HHATL	-0.0439492698980675
NCAPD2	-0.121353853043446
PHF7	0.0469030710940428
SEMA3G	-0.0383758844542288
NISCH	0.0210898246759688
FUZ	-0.100443691255718
PRSS3	-0.025086734730871
ZNF200	0.190670709075776
CD4	-0.0482196771811798
LRRC23	0.349893982623141
HFE	-0.215135198585423
FMO1	-0.351376464963768
LYPLA2	-0.0678330503172048
MRC2	NA
TSPAN9	0.0472928282257428
APBA3	-0.168738181847921
ABHD5	0.136626843118001
AKAP8L	NA
UTP18	-0.0192362586065678
TTC19	0.319371860497805
LARS2	0.463377024760332
PIK3C2A	-0.352948663047365
ANLN	-0.156165217086764
WIZ	-0.0590598528406506
DCN	NA
QPCTL	-0.0196294111073343
PPP5C	-0.358483600463253
CEP68	0.330767431317416
ZBTB32	0.524542489559446
ERCC1	-0.0218780760514734
CD22	0.419238218712987
EXTL3	0.262152029085729
ELOVL5	0.376721864821476
ALOX5	0.402555238411236
CALCOCO1	-0.185697415475638
MAP4K5	-0.417102804763177
PSMC4	0.0408407609203151
MAN2B2	0.396759484018339
CLDN11	0.264088914656475
SLC25A39	0.348440384258394
NUB1	0.122311595625829
CLK1	NA
RNF14	0.039612266418549
DDX11	0.763188365027055
GPRC5A	0.22560327272644
CD6	0.0764319291304411
TACC3	0.0533280314558878
POLA2	0.322563851824721
ZC3H3	0.0818313715153716
CAPN1	0.228317109306906
ACPP	-0.100099188255503
MDH1	0.0991865448793035
SLC30A9	0.100478463573314
MTMR11	0.284510917979038
CCDC88C	-0.0874731074764854
YAF2	-0.20471862958005
BID	-0.111024214337239
NPC1L1	-0.254608549615102
RGPD5	0.254822685444329
NUDCD3	0.090269445543517
CLCA4	0.031062622633852
ATP2C1	-0.0796810785295079
SRCIN1	-0.0421946245967918
WWTR1	0.0785408922818876
ZNF582	0.176709860402601
VSIG2	-0.0515950208201345
MARCO	0.109772337522131
SYT13	0.0477346251441375
SNAI2	NA
CD74	NA
GPR124	-0.0614814629776643
MNAT1	-0.0840413348468992
RUNX3	0.246609430184321
MRE11A	0.246524696490615
PLEKHB1	NA
SLC7A9	0.0575215832751922
SPAST	0.195593226980773
OSBPL5	0.207786046703094
AQR	0.31403621958759
CPS1	0.511777790484673
GABRA1	0.0536483069969428
NLRP2	0.446477056842776
SLC45A4	0.0172999645780025
RNF10	-0.0335089509400617
ZNF839	-0.165625610780021
RNH1	0.171479482415695
ERP44	-0.0529368442727394
BIRC3	0.29420776421695
AKAP11	-0.207098074042582
GLRX2	0.0213426625618952
SNAPC1	0.354340826933445
STRAP	-0.0569142164680354
ABCC2	0.0353353147174118
DEF6	-0.125844726895178
PLEKHO1	NA
RRAGD	0.260207694111407
HSF2	0.0872756746824118
PHF20	0.0360081936427753
HSD17B6	-0.215372630982225
NR1H3	-0.0334283874618487
TYMP	0.283452666119285
SEC63	0.0118666028542376
VIM	-0.178138322607927
FAS	0.329761427691467
AGPAT4	-0.0385690104803184
BTN3A1	0.213904053023138
MIPEP	0.0187008707534376
B4GALT7	-0.0761674236849653
SH2D2A	NA
VRK2	0.00170347494410873
TNFRSF1B	0.237935269320374
VEZT	-0.107103534235281
POU2F2	-0.3197714956243
BRD9	-0.174746602682652
SNX1	0.339388714008363
TFB1M	0.181818316585977
BAK1	0.120020850159874
MUSK	0.335306728938871
GRN	-0.0255447239026101
CENPQ	0.416387960258087
ARID4A	-0.0813519333120861
IFT88	0.372410195208602
ZCCHC8	-0.0854136975901199
ABCF2	-0.0954825402238224
FUT8	-0.13233012933185
UBA6	-0.396454793772055
