gene estimate Rsquared pvalue adj_pvalue
CFH -65.5222798927217 0.618254476201294 0.978344259137733 0.996889865711884
NFYA 351.105631773126 0.359075102065009 0.486017734415175 0.879193661911365
NIPAL3 162.223435089513 0.655687838819549 0.743717987050179 0.953678235367325
ENPP4 92.4004960397337 0.698556630633044 0.676707960987121 0.937622121185851
CFTR 18.4070215318573 0.0399129788419846 0.988181777697723 0.998550571208841
ANKIB1 -3091.45920500679 0.313514307377199 0.659188330748487 0.930265926662714
KRIT1 -135.615942306599 0.0359532001374563 0.496730510509373 0.880472289539907
RAD52 36.5046187332136 0.291077993256059 0.158372426469306 0.673108419864082
LAP3 -612.60297601113 0.177264101755194 0.372264992324783 0.833506912017186
HECW1 31.4845982178464 0.304005987071947 0.156399050421825 0.671087888305348
MAD1L1 -7423.92517953968 0.188816362225925 0.28039281329748 0.786046822784943
SNX11 151.46400034344 0.486569134801835 0.0372070389995038 0.382998775208935
TMEM176A 151.511312308748 0.0109907351940691 0.711194250823759 0.945454237711351
M6PR 435.534444736973 0.26569697785173 0.0934584194751348 0.565250208222035
ALS2 152.106337694294 0.0396622740669123 0.295399051566841 0.796137279260372
CFLAR 99.5619327913547 0.840726121124215 0.8341118274736 0.967424069163626
TFPI -312.560526866102 0.385347362268972 0.820289021386106 0.966591969820143
ARF5 -296.397142463256 0.313451013518463 0.910228569557377 0.984220696319412
POLDIP2 3026.81432241248 0.141006393500595 0.0339042223910163 0.367007361827167
PLXND1 973.158162929731 0.482171026054511 0.730251980748768 0.950890583195011
FKBP4 -1614.83759200017 0.790171222410271 0.252431967863869 0.770970919542151
KDM1A 535.572283420305 0.846541742657818 0.247551245225012 0.764874871073186
RBM6 190.029692956158 0.289261794372512 0.0508882741431792 0.443253246920833
RECQL 209.804819079278 0.735045419416706 0.746002755137487 0.953678235367325
SLC22A16 -4.95879695001565 0.01240554881116 0.619733119981182 0.920277299075178
ABCB5 88.7040277487053 0.0983070717388386 0.204928473988217 0.730371781952557
SLC25A13 -983.417083092066 0.339881132425065 0.284545496432219 0.787972143966146
ST7 -135.349801442994 0.626597299051781 0.61746140309311 0.920037420063552
CDC27 499.262040410072 0.624105747313467 0.144874251110681 0.658076925288179
POLR2J 46.3912836377409 0.0118893692477825 0.722441011393731 0.949385735401914
DHX33 666.481651299841 0.304662154936582 0.144441485737523 0.656845481374002
MEOX1 -176.885534966574 0.451575335480606 0.814114177294479 0.966591969820143
LIG3 43.5710950023192 0.792680273276617 0.639336040816828 0.925933970257322
PRKAR2B -2698.14088599299 0.846168975064884 0.642231180890007 0.925933970257322
BZRAP1 -608.592647071359 0.649017875222051 0.473872994131876 0.874020037120321
PON1 3.92580548170967 0.158043447313286 0.761396304682553 0.954923547094876
WDR54 -118.647581731615 0.321481027286552 0.421441467202484 0.854641953787154
CROT 3571.65790199111 0.645327442141294 3.37283298696239e-06 0.000645609592236117
IBTK -74.1590560239586 0.0455709491498603 0.894672429523067 0.979273253402654
ZNF195 102.883950970674 0.550753278203913 0.455508527549462 0.869082968016131
MYCBP2 -2840.15501648481 0.726928723977595 0.779192723192437 0.959159367455111
PDK2 934.143590732277 0.355181506349984 0.0605449919930365 0.485937987237889
ITGA3 558.355241730448 0.701312257673387 0.635778943903703 0.925208826510858
GGNBP2 135.323266345147 0.23896054882486 0.449234764201827 0.86669133061868
ASB4 4.31365955355257 0.288271438120463 0.0129851426006424 0.224465636849871
GDE1 1277.13022407353 0.42849238989081 0.267617684293821 0.78105748841127
OSBPL7 -409.996781237398 0.801353800511293 0.935950322603542 0.990105308327833
TMEM98 445.919433521507 0.661059321743595 0.160175316693659 0.673680989332765
ABCC8 43.5039938487586 0.217887325863919 0.924930553898729 0.98798379005866
SYNRG 7.39482406812628 0.0100009033979218 0.954986721455208 0.992220468548384
TMEM132A -169.934752311818 0.509920984189857 0.566774810423763 0.904592023185031
TAC1 28.95030740733 0.18946633151721 0.311763109811506 0.802852185763669
ZNF263 349.453624682514 0.727920726981266 0.185926217100764 0.708139708853853
SPATA20 376.131353879276 0.488940648124842 3.22865070912595e-05 0.00347102065276993
TNFRSF12A -360.231275211816 0.424853965795171 0.192734842737642 0.720620793618395
MAP3K9 -103.35789076315 0.569616962140662 0.242667685684846 0.763686275767557
JHDM1D -144.141850709753 0.249928492371186 0.580288429147685 0.910855811436817
AGK -127.499000363278 0.427391960841659 0.66537151247985 0.933137174757302
ALDH3B1 -211.800167463757 0.0420445818681201 0.567468009274458 0.904592023185031
PHTF2 -182.459558434857 0.283228717097392 0.304523436955303 0.799474799099535
FARP2 104.419267262361 0.350161108148858 0.0241436640999374 0.313189216291419
USH1C 8.30813783368302 0.294753961376702 0.132160951745566 0.641037793139184
IFRD1 498.166635737001 0.123689977437347 0.116732002040984 0.610748685375428
LGALS14 -1.03956402892925 0.0261099578752757 0.42302417715804 0.854981648811819
COX10 -31.3474795963167 0.039074366359316 0.722097292244102 0.949385735401914
GTF2IRD1 258.958890698326 0.717844622142057 0.843977978701755 0.969666213601036
VPS41 1476.42341810884 0.535050815202436 0.163365243689646 0.679793442458293
ELAC2 284.595091762218 0.234605112405256 0.00411802548565323 0.111442289694505
MYH13 -17.9825490928516 0.12406268274562 0.0381971065534578 0.385184680070246
CDKL3 27.2781474128231 0.340681994929239 0.210338565171806 0.733956953627084
UPP2 -9.30112758750727 0.238160568700222 0.0122225301920894 0.216529157895073
CCDC124 409.896080654753 0.0267279999973669 0.515861566422462 0.886076072069049
CEACAM21 61.6695282987997 0.374964954783041 0.000170735636046036 0.0120714709161198
NOS2 26.3656936867256 0.353152719081725 0.000190278654272441 0.0130991831467554
DNAH9 68.7768625459988 0.319019916038674 0.609815935113539 0.918577031625599
KIAA0100 -4654.44207029021 0.277681965241679 0.179617689380505 0.702107022744159
SLC13A2 -283.865377082404 0.46688870919519 0.536158390835901 0.895118087585627
TRAPPC6A 151.778103847502 0.528088690969372 0.648791363998666 0.927098784231452
MATK 867.891966871497 0.0574408942535351 0.246500713864635 0.764063877691628
CEACAM7 -30.3338334857981 0.157374677241952 0.0765095563365546 0.526645438714455
ST7L 162.296969023023 0.514820852795681 1.3150852652968e-06 0.000278940247622953
RPUSD1 -622.180077745004 0.458174291801958 0.207184649869958 0.730539347215609
RHBDF1 -15665.0500621362 0.664981407618317 0.242089786813507 0.763663478919672
BAIAP3 10.3307730409172 0.481812294943257 0.947880698305251 0.991428714191624
TEAD3 -85.3773191763723 0.642540843892425 0.824191628072248 0.966591969820143
PSMB1 -2376.95278900635 0.219876487062023 0.110466324577061 0.601998153566507
CDK11A 213.907489457688 0.396743050691751 0.226597410778245 0.75166916175775
TFAP2B 2185.15546231774 0.439000276845401 0.115522096615761 0.610129180517336
TFAP2D 0.0347502218643844 0.00372572696262936 0.767428431131993 0.956148329500537
CELSR3 -6.24763671081894 0.346978750305339 0.74449646618771 0.953678235367325
AASS 269.901199357265 0.142593566755573 0.724741327827837 0.949385735401914
PLEKHG6 -736.810954731257 0.676488228126939 0.191735528418837 0.718596192469452
MPND -45.1236338332068 0.220291693419319 0.840437841029932 0.968824350235445
PGLYRP1 -2.5270451751063 0.0709335570801596 0.597793973580438 0.916999075111496
ST3GAL1 -180.619620001108 0.594446471172596 0.576007498687025 0.908594501053461
MMP25 -34.1555254364778 0.0637908903919344 0.649828584656819 0.927098784231452
IL32 109.42943203071 0.0112000484231702 0.598626185766076 0.917223409975042
PKD1 -400.101898030311 0.111568704462522 0.880951518370553 0.974554318820295
MAPK8IP2 196.075943211336 0.278172346859505 0.156553794098522 0.671274301640192
MED24 -59.3585443925329 0.631692019295785 0.72464080472478 0.949385735401914
HEATR5B 2878.92278861185 0.0614432818321633 0.151585493421456 0.665607455262483
RPS20 -1382.71108042716 0.0221961451782643 0.902305332780674 0.981966035442223
UBE3C -4008.41832529942 0.270494465762524 0.438896968848096 0.862765354105339
PAX7 -5.32650279279361 0.0642590293934715 0.538470719197524 0.895511380432755
TRAF3IP3 19.1634946086659 0.241826224386807 0.66403411387436 0.932721385611825
MLXIPL -495.944385850258 0.426320018398179 0.358240954443161 0.831907607854785
ZNF207 136.820240265762 0.327998621619057 0.72604690554905 0.949759831004555
HHATL -13.7532678511158 0.00328577485832991 0.835317825787426 0.967424069163626
NCAPD2 -390.679054506856 0.531779292141226 0.445738473188116 0.86561431711694
PHF7 15.3565089029913 0.053214959677944 0.643079927747104 0.925933970257322
SEMA3G -5396.84522127039 0.622776609547626 0.0919095218536233 0.562080332468477
NISCH 826.316745395533 0.519282871565372 0.710653012126644 0.945454237711351
FUZ -399.389878464431 0.123342730235452 0.497306220793079 0.880472289539907
PRSS3 6.37155341874601 0.283209614881168 0.515585034645105 0.885794954442816
ZNF200 44.7121569119626 0.0841396668288922 0.242181427255192 0.763663478919672
CD4 914.069787840845 0.209609724467325 0.3165800741486 0.803635551739221
LRRC23 31.7776054504711 0.500272689089142 0.178255404575326 0.699263828326264
HFE -53.8331484943069 0.09117468687618 0.34233562918722 0.820389978319844
FMO1 -1656.22863892174 0.173848171830679 0.0170906899898625 0.259040765583614
LYPLA2 -1351.11925943558 0.482088926998727 0.283576138212712 0.78751080420855
TSPAN9 145.637533093031 0.0419488359605897 0.897355200318201 0.979477553838282
APBA3 -80.2021756528886 0.252501722643551 0.350495109603084 0.826199642336115
ABHD5 4595.72167491961 0.645765135323035 0.205507162369794 0.730539347215609
UTP18 1093.41364327789 0.674539754265135 0.146235983096415 0.659195861769479
TTC19 405.466734781368 0.769132331231145 0.0198072352595607 0.277584254137557
LARS2 179.257217389427 0.564357620945611 0.00794973918586703 0.164183034554433
PIK3C2A -12233.2685636059 0.460525390318761 0.0110857188423701 0.200001658563036
ANLN -161.493122920099 0.119633902266047 0.350926264820013 0.826303428235062
WIZ -68.8562071866728 0.00349895670720878 0.736166342809359 0.952453294751163
QPCTL -122.8627476447 0.495258720899571 0.400703603121682 0.850495244884214
PPP5C -122.149375756936 0.543687138117313 0.500895264321509 0.881198393722305
CEP68 918.099902676513 0.566073255566212 0.0196692246218685 0.277584254137557
ZBTB32 5.53222810393379 0.32753273745849 0.0023849044581124 0.080675561152009
ERCC1 76.5992491352754 0.430741637854454 0.525060006828274 0.891200275554726
CD22 189.162613860557 0.331148076667076 0.0246785138112143 0.316983594746988
EXTL3 232.271631006711 0.0791236742915542 0.124526482650325 0.628579528370094
ELOVL5 9216.77773569237 0.231559789830586 0.0179435013664875 0.262845037870437
ALOX5 971.011423806987 0.403714737342003 0.00206905624021709 0.0731439341136202
CALCOCO1 -1319.76492137665 0.55388537138299 0.162640904759832 0.678578320337672
