gene estimate Rsquared pvalue adj_pvalue
CFH -3850.14674899859 0.0314271227185879 0.300975144890756 0.819343349482781
NFYA 313.445859572915 0.00768660393456851 0.61113376704555 0.92586175789548
NIPAL3 1407.8160788956 0.0970228172857125 0.0644204897242544 0.558326621264613
ENPP4 273.293387022434 0.0142717729880399 0.487693449675712 0.889183164866205
CFTR -344.508808936475 0.00243381145999175 0.775085240350251 0.96190453938035
ANKIB1 -1026.93527109949 0.000457355257743346 0.901473054066901 0.984402948975039
KRIT1 -128.259336191001 0.0123626424786509 0.518546824243885 0.898554973871938
RAD52 37.9139399008307 0.0482833821540539 0.197855566925816 0.767228657433179
LAP3 -750.066819522371 0.0307964953903834 0.30595431123523 0.82029688174345
HECW1 32.788575908105 0.0481301756934412 0.19858647335142 0.767228657433179
MAD1L1 -6444.83287401025 0.0223804264626248 0.383840000564025 0.861082124759757
SNX11 201.065905453057 0.132183636601248 0.0292841136613982 0.399720274777121
TMEM176A 134.175057625643 0.0033016524083581 0.73923388849252 0.955168757832672
M6PR 275.628838984445 0.0276285181110668 0.332607527181119 0.834851710502239
ALS2 159.075455196461 0.0369052880795159 0.261666785075403 0.801856783108148
CFLAR -1829.61749159521 0.0812716149879893 0.0919307893678548 0.625152756201573
TFPI -820.053809988658 0.0067691424838705 0.633335614692029 0.93118218597642
ARF5 -1308.27170843598 0.00528613390898196 0.67346460655195 0.944487175164351
POLDIP2 3035.56001103239 0.140994617785004 0.0240245192258046 0.364433734065557
PLXND1 4003.52935682104 0.0334855235703965 0.28540905481523 0.812984932948841
FKBP4 1618.02923320872 0.00906294442548138 0.580745982134818 0.917323433523865
KDM1A 1575.03119356465 0.0574991928102908 0.158950034916311 0.727402644966068
RBM6 165.302347314001 0.0673632665162091 0.126354049198582 0.680207925128074
RECQL 361.519010596227 0.00254503566778262 0.770138543400176 0.961847509591529
SLC22A16 -4.22622551002812 0.00558950397854012 0.6647574642843 0.941478924537168
ABCB5 105.530746536071 0.0684431409368486 0.123247518825099 0.675923499468468
SLC25A13 -1802.18667807937 0.0849694242528752 0.0845399709936199 0.607572978349752
ST7 249.671498817553 0.0101726279809146 0.558349110697286 0.912472989574503
CDC27 390.420634377647 0.015562624034511 0.468498148485824 0.882228288800555
POLR2J 50.7695377941989 0.00462421719538196 0.693531634015897 0.94880899662225
DHX33 604.32022765723 0.0387736245017987 0.249700007850676 0.801856783108148
MEOX1 -1235.41037448452 0.0496696783686351 0.191378021341694 0.765226331129753
LIG3 233.963993781136 0.0420278656651623 0.230363978634687 0.785615622240846
PRKAR2B -9309.19436441559 0.0122908926935971 0.51977049840421 0.899087254017245
BZRAP1 293.026915803786 0.00131912835926055 0.833435617501028 0.973597579192212
PON1 -3.2723674137603 0.00175192095165426 0.80848664961717 0.969667445314535
WDR54 -198.409049561079 0.0389534140680964 0.248583114404709 0.801856783108148
CROT 3701.58971560389 0.359411992804137 0.0001115889740119 0.0112847449960534
IBTK 13.1077467226664 1.63396292690928e-05 0.981333199237713 0.995407105921884
ZNF195 397.911604563125 0.137331620432744 0.0260869789443654 0.378410980380846
MYCBP2 28561.7883807227 0.0763543893557982 0.102812963125883 0.644758221033017
PDK2 531.19355243251 0.0248966216864039 0.358051670481173 0.844605558263944
ITGA3 1874.29093376448 0.0237081068664318 0.369929502648609 0.853633265741336
GGNBP2 50.2745933871864 0.00190977624675051 0.800211784944605 0.969145383988466
ASB4 4.40636632365525 0.155310921319669 0.0173940763850198 0.298979109295076
GDE1 2856.71820518156 0.123874869307129 0.0352820203507732 0.443029273140589
OSBPL7 14476.5233416005 0.0528857731336663 0.177245763955859 0.745924391710362
TMEM98 912.755609809638 0.0926311875314393 0.0711119080745518 0.5749725674012
ABCC8 139.941863399099 0.00222167777053975 0.784869400535361 0.965387454182768
SYNRG 12.3158166851497 0.000270381358583532 0.924168603466826 0.987240040818195
TMEM132A 14.4445931986498 3.63410981221551e-05 0.972164341977113 0.995407105921884
TAC1 12.4606891924358 0.00503122060421165 0.681009934589007 0.945898240548887
ZNF263 159.607043470403 0.00315795091546786 0.744778607375931 0.956512870022777
SPATA20 387.413600654916 0.381205724805655 6.03775885522134e-05 0.00728989715319648
TNFRSF12A -241.752052818936 0.0139922962134988 0.492016670093835 0.890930006419181
MAP3K9 -77.5237201039997 0.0104056284400577 0.553853731524307 0.911121722660428
JHDM1D -27.7798194447352 0.000268281375938851 0.924462813820336 0.987240040818195
AGK -94.3543952636822 0.00181091805603313 0.805349537087779 0.969667445314535
ALDH3B1 -175.76966025176 0.00672280261433606 0.634504724388272 0.93118218597642
PHTF2 79.1558482143961 0.0053894121466333 0.670468197304638 0.943150100814985
FARP2 115.075319105602 0.134316719111896 0.0279148982925955 0.393576614524367
USH1C 3.52858157679483 0.00976588842751501 0.566363098792796 0.914195310433127
IFRD1 492.945267513968 0.0674799075987272 0.126014521974624 0.680207925128074
LGALS14 -0.819879184756818 0.0129328956150237 0.508994529061192 0.893589902143121
COX10 -39.4147451710531 0.00596816943775555 0.654272032203246 0.938842040704247
GTF2IRD1 455.102428143855 0.00103936904002037 0.851929450837347 0.975508115496565
VPS41 2230.61600367011 0.066422610078683 0.129128086893476 0.683342701240728
ELAC2 267.783390332513 0.199599083123078 0.00630353307662959 0.186690849507011
MYH13 -17.4167804250373 0.121102729735303 0.0375432112755441 0.449998995910021
CDKL3 27.6795496961178 0.0335741352761852 0.284761543236508 0.812984932948841
UPP2 -7.63150467651975 0.114055391815381 0.043964082147174 0.480059553055359
CCDC124 382.331898893779 0.0111103657978108 0.540654976221921 0.906115604258599
CEACAM21 59.0038820816032 0.314620789425572 0.000372948735813023 0.0265496137557978
NOS2 24.4610190931926 0.310799135627175 0.000412080900401303 0.0276411188576874
DNAH9 109.734671230738 0.0140354883690843 0.491344444498763 0.890930006419181
KIAA0100 -5966.30199687051 0.0686800180625072 0.12257700702525 0.673658509197591
SLC13A2 -674.784969069645 0.036700119686912 0.26302220003221 0.801856783108148
TRAPPC6A 341.407958497911 0.0154282662442433 0.470439492883325 0.883325216243996
MATK 827.110482941237 0.0362608636493854 0.265952531141237 0.801856783108148
CEACAM7 -30.8601871960477 0.088402643029378 0.0782270420321907 0.587789559821261
ST7L 162.282562535641 0.5107884524912 9.75942418266062e-07 0.000283673929576002
RPUSD1 -387.22752298246 0.0106197539217417 0.549781440517607 0.909152641556375
RHBDF1 -526.698501205808 1.66198918209125e-05 0.981173818556537 0.995407105921884
BAIAP3 -25.3623690781395 0.000411305572272439 0.906541894788067 0.984402948975039
TEAD3 -25.6811789410616 4.91660403023874e-05 0.967625327440867 0.995407105921884
PSMB1 -2996.11268034427 0.104986988502731 0.0538724775684833 0.521320843350749
CDK11A 178.441976529075 0.0193527312671858 0.418415706696849 0.868331140552227
TFAP2B 3199.99788672356 0.0980111365638792 0.0630051905079983 0.55618224117908
TFAP2D 0.0363036111848988 0.00295016813157673 0.753047366593329 0.957122822309526
CELSR3 26.1616890428974 0.0463450364851195 0.207332154410373 0.771224448105777
AASS 284.20509823951 0.00363383835092607 0.726908221490054 0.952492393639103
PLEKHG6 -125.762226720625 0.000516465085308101 0.895332464453965 0.983700011344634
MPND -34.1034925693326 0.000555909092881212 0.891431903928864 0.982992494314138
PGLYRP1 -3.1826668355351 0.0127917366857565 0.5113309510636 0.894553183036908
ST3GAL1 106.399506480082 0.00138367622633169 0.829467530024464 0.972898098286055
MMP25 -29.2210619759422 0.00436821641255768 0.701735328685661 0.948928653419876
IL32 112.140062237734 0.00890952486796185 0.583980639673432 0.917326758237854
PKD1 -552.89169042854 0.00117203108491125 0.842874261254793 0.974637904976981
MAPK8IP2 233.085567391647 0.0654745553533756 0.131989834708713 0.690293505209638
MED24 -8.77971798506139 3.08700132895157e-05 0.974344318931226 0.995407105921884
HEATR5B 2878.06320129657 0.0614415244323432 0.144946562403848 0.70874805093171
RPS20 -2909.13964897134 0.00206352491490787 0.792494336172055 0.967715103333923
UBE3C -2495.59144003787 0.00529928063336861 0.673081287690613 0.944487175164351
PAX7 -8.10685058976756 0.0276323878992064 0.332573191045664 0.834851710502239
TRAF3IP3 34.8584749164485 0.0147958359388439 0.47975121761164 0.885486254895615
MLXIPL -593.865218269124 0.0216711213040318 0.391568333909574 0.864316612683847
ZNF207 428.017761486858 0.0258737779871541 0.348665378213054 0.842529814098246
HHATL -16.3143078983112 0.00193153832458827 0.799099861334545 0.969013649471264
NCAPD2 -515.290614959849 0.0147267576484902 0.480786120986455 0.885937890937238
PHF7 8.99568918723801 0.00219989807809959 0.78590182215534 0.965387454182768
SEMA3G -1096.08788542753 0.00147270850764429 0.824149705469226 0.970885262223181
NISCH 385.64782770721 0.000444780704863113 0.902830441411104 0.984402948975039
FUZ -358.412360338144 0.0100889351130741 0.559980546116036 0.912472989574503
PRSS3 -1.60663460555531 0.00062934425945709 0.884528516136596 0.982737745346697
ZNF200 42.9427107869102 0.0363553192997091 0.265319107188292 0.801856783108148
CD4 -251.38635569847 0.00232513726745994 0.780037670650899 0.964356590937029
LRRC23 63.2071931315122 0.122425799076573 0.0364465482619485 0.445533505856343
HFE -70.4448616065143 0.0462831536703169 0.207643079667633 0.771224448105777
FMO1 -1414.82552834312 0.123465420130434 0.0356072629914724 0.443564761836628
LYPLA2 -667.771126995911 0.00460132271533645 0.69425453686419 0.94880899662225
TSPAN9 308.534282755297 0.00223661160158961 0.784164622415881 0.965387454182768
APBA3 -94.8032083920021 0.028472574013342 0.325225439385476 0.830103564049495
ABHD5 4692.53496598745 0.0186668942603908 0.426865582832517 0.871683630462872
UTP18 -139.369976339823 0.000370033645178754 0.911335301665875 0.984467921193914
TTC19 626.269848323567 0.101998385277829 0.0576085811596594 0.536313339194552
LARS2 249.808082404383 0.214718267075541 0.00442479434371015 0.15365392039574
PIK3C2A -12546.1056961595 0.124572758746923 0.0347344556671565 0.439670980767491
ANLN -163.183745264391 0.024387575027756 0.363075207340231 0.847394267833331
WIZ -68.8710929635035 0.00348806621756764 0.732236469813189 0.95284228404807
QPCTL -22.7342189610024 0.000385313780412244 0.909530526862881 0.984402948975039
