gene estimate Rsquared pvalue adj_pvalue
CFH 247.731969488782 0.00512514957775924 0.56348962432764 0.867331653552586
NFYA 165.087224952402 0.0627603705593412 0.864752520492604 0.968957212534467
NIPAL3 -775.345498738287 0.0555425348150826 0.0108898470391619 0.116387988341837
ENPP4 -121.336037755331 0.0399883059941995 0.624508324397674 0.890739764183438
CFTR 285.775773639401 0.00603501370579572 0.32852543706524 0.739881025449539
ANKIB1 -1663.14135368388 0.437002868323112 0.551589300687894 0.863374910687845
KRIT1 -14.1990683074153 0.222419312970713 0.814303806342939 0.951919111757585
RAD52 32.1717255937929 0.0272284164594353 0.00770569809590569 0.0903854484188878
LAP3 -265.212620432867 0.022405267875775 0.685061183838326 0.913481601471712
HECW1 -10.9398756857363 0.0238414286442772 0.294538420212102 0.714126821750672
MAD1L1 -340.684380191799 0.420233325651454 0.906092459216883 0.979571364604585
SNX11 136.533980817881 0.00886724876619091 0.0541018019422292 0.33538049119691
TMEM176A 719.069227770913 0.0189313834299117 0.0296907426759158 0.23300753462744
M6PR 692.227720991168 0.102943220083709 0.00118387634354859 0.0213442036186809
ALS2 105.165211562007 0.363028017221618 0.0547276415142042 0.336893179274648
CFLAR 308.601291082046 0.119486590913098 0.0989670518143966 0.454801712070673
TFPI 296.875219989057 0.0019113564866363 0.448896044430791 0.817775519345012
ARF5 -1009.14485071424 0.49089151321755 0.344212724022762 0.753837989603912
POLDIP2 894.994515400145 0.0468521797432393 0.485748320302551 0.836972365916956
PLXND1 80.3485047988895 0.0313103629487939 0.926752347247807 0.983078656001941
FKBP4 -569.527333940329 0.0119771300457537 0.764715234296063 0.93903420663374
KDM1A 892.982450433033 0.00687728186886868 0.124624424880259 0.504919672435783
RBM6 76.7466328586059 0.127788235333845 0.135351491250242 0.526628795445523
RECQL -275.454195265616 0.23768230276117 0.555745465626552 0.864225284582676
SLC22A16 3.39848291148246 0.000735646417135962 0.708225112386513 0.920912987958294
ABCB5 6.64359183150411 0.00439712046790284 0.280343760886453 0.701132063956956
