gene estimate Rsquared pvalue adj_pvalue
CFH 279.917051839055 0.00102141461987422 0.513632951549482 0.856342487561292
NFYA 63.6503416703913 9.70880053919811e-06 0.949235632212837 0.988659594008669
NIPAL3 -783.944728031149 0.0151474859025413 0.0115903781192175 0.129815504435411
ENPP4 -52.7318666495941 0.0001047933537028 0.834312805333643 0.957548487809577
CFTR 294.099226474283 0.00241707663483481 0.314818524513283 0.747452420306089
ANKIB1 -780.430955405975 0.000105586756731118 0.833695865077801 0.957306220443499
KRIT1 -2.725695485929 3.79671571171911e-06 0.968241631359364 0.994156554774335
RAD52 34.5624269842499 0.0195392056167312 0.00410134794900125 0.0623923449483121
LAP3 -87.5994789328689 4.2456524581865e-05 0.894083467668847 0.975514292441266
HECW1 -12.8387710397139 0.0035650862071081 0.222048255192646 0.661397297256115
MAD1L1 662.07092967246 7.3190862602998e-05 0.861229403618417 0.967989213631893
SNX11 136.514676618125 0.00886518865848375 0.053837651066601 0.342868791150531
TMEM176A 733.817938858368 0.0116697936498569 0.0268442621383873 0.225203297164908
M6PR 705.01651000443 0.0237938225129378 0.0015201387798808 0.0288790001220896
ALS2 92.9407009701469 0.00442853250863723 0.173432490945302 0.608315994079789
CFLAR 351.525198156903 0.00749889042799629 0.0762726417661173 0.413152147520285
TFPI 311.142644803222 0.00152291537077164 0.425052946389438 0.813140314930987
ARF5 -618.267739188612 0.000411073882676047 0.678641802558144 0.920503372975412
POLDIP2 513.314299041372 0.000367614825663146 0.695205728230967 0.924830961289751
PLXND1 27.7422819391386 2.34395615662468e-06 0.975044135174167 0.995861797738657
FKBP4 -410.161995979931 0.000110379238014303 0.830019710437239 0.956871516986359
KDM1A 927.529909614182 0.00615575961320816 0.108360143189896 0.491707369754838
RBM6 45.5959921230993 0.0016629484800354 0.404516379228752 0.804469136667158
RECQL -284.562356067306 0.000678334917043869 0.594545645895024 0.890454327346792
SLC22A16 3.28151566001079 0.00031363838305001 0.717433933950534 0.929387091272625
ABCB5 7.13991085355142 0.00326713578411755 0.242454867813094 0.685904561917984
SLC25A13 361.801954159615 0.000801327469370167 0.56291122591988 0.879888586627357
ST7 -36.4330803645026 4.77369192280405e-05 0.887730930833239 0.972743386469815
CDC27 112.188805494815 0.000779717653811393 0.568226264293707 0.880502036069879
POLR2J 118.244191649075 0.00367611692602275 0.214974136830954 0.656075949490624
DHX33 108.264815018012 0.000967908364204035 0.524878017622773 0.863487950682088
MEOX1 164.525804756969 0.00887297986390188 0.0537319312014095 0.342868791150531
LIG3 264.152745689819 0.00674251165312082 0.0928337464016001 0.45592614005172
PRKAR2B -374.274828720603 0.00229363150715371 0.327516666726161 0.758917376852187
BZRAP1 -428.457780265082 0.00160639630231159 0.412629957968306 0.807358071754822
PON1 32.7575142333682 0.00319562266116432 0.247685729554511 0.690372895188619
WDR54 202.742574381634 0.00387617372221804 0.202889883085546 0.643430546223271
CROT 509.101470516859 0.00246402707706805 0.310158246400315 0.745104731646794
IBTK -614.563739990435 0.00928877739132164 0.048395611646598 0.323220817565715
ZNF195 139.982942243863 0.013680969913771 0.0164769422495397 0.165415168651826
MYCBP2 170.471642156658 1.808743409076e-05 0.93075114836028 0.984036062991477
PDK2 -123.243690214747 0.00848624569039924 0.0592543794732237 0.361724746515286
ITGA3 537.358170442029 0.000764468266704058 0.572035957975019 0.882288935734652
GGNBP2 75.2896452545274 0.00273312249449949 0.285094756555258 0.726570627640919
ASB4 1.57656210552591 0.0165694176191696 0.00826238539137352 0.103000945671738
GDE1 -960.730887310131 0.0061053237894965 0.109821433111378 0.494383220145947
OSBPL7 -71.2447349979235 0.001216875328987 0.475851727704686 0.837605906364497
TMEM98 53.1445965679155 0.000198091272834747 0.773656139408543 0.942431573865162
ABCC8 224.69268984071 0.00138036783702909 0.447607869327054 0.824800817637918
SYNRG -147.552435791662 0.00821215978176556 0.0635303446768489 0.376769579595861
CACNG3 0.147110802492079 0.000124236128128661 0.819837559388741 0.953663153008308
TMEM132A 489.058203506009 0.00364941468843949 0.21665064848896 0.658105400596106
TAC1 -2.32503436190119 5.07513213659299e-05 0.884264635665452 0.971785153764703
ZNF263 185.86109405819 0.00146719470904612 0.433658939712134 0.81739511992738
SPATA20 495.75416196852 0.10223635456694 1.94312268176056e-11 2.05737829544808e-09
TNFRSF12A 596.795632676347 0.0125373009117173 0.0217281614076713 0.199702927937867
MAP3K9 -64.5401046901269 0.00469601249963921 0.160957694145119 0.587122209098022
JHDM1D 293.201241719794 0.0092040977846743 0.0494352768422837 0.327410786826168
AGK 72.4198372635566 0.000150496994642998 0.802066448480197 0.949739055536197
ALDH3B1 -134.881633326169 0.00194230436619679 0.367617722880426 0.782428376178214
PHTF2 34.1956486140747 0.000210306044743859 0.766977299798465 0.942148017623784
FARP2 65.1249225021108 0.00789997039272515 0.0688033821355142 0.393353245167832
USH1C 2.67925320927344 0.0018148776702228 0.383829540239434 0.79157927723267
IFRD1 200.462581933794 0.00391596807318726 0.20058250632068 0.641862908538548
LGALS14 1.70066859943144 0.010351715937484 0.0371314184656153 0.273525597435483
COX10 -41.6956883593086 0.000846707138860588 0.55205404758379 0.874498542162952
GTF2IRD1 -362.299336286807 0.00012249724645497 0.821081408012181 0.953944032337195
VPS41 957.926139641728 0.00396532357747894 0.197763330567909 0.63683641850761
ELAC2 215.656933644863 0.0228031824843376 0.00191363798456576 0.0346428169404875
MYH13 0.998498639218344 0.000339207480199966 0.706652829836396 0.928272018378173
CDKL3 2.32316455929172 3.38962134590447e-05 0.905305589007594 0.977326454437442
UPP2 -2.10333486828009 0.00218584834086172 0.339163310577789 0.764054635900377
CCDC124 202.245337332493 0.00230395241438876 0.326429463751446 0.758258501192436
CEACAM21 29.4141012971915 0.0276342671708841 0.000625081853015581 0.0137500692376641
NOS2 10.5343337236315 0.0248172683667842 0.00119893860179101 0.023801928592056
DNAH9 -15.4339926939934 0.000315944018004919 0.716441782610153 0.929387091272625
KIAA0100 3795.41144066809 0.00440488112526115 0.174587772550603 0.610480626078529
SLC13A2 70.0250617170213 0.00059374417869458 0.618513760456884 0.899398969380721
TRAPPC6A 386.950180252666 0.00269132960770678 0.288813085920289 0.72916282146657
MATK 25.0084883850743 7.4770995922312e-05 0.859754731610234 0.967989213631893
CEACAM7 79.1181673425559 0.0040007012829111 0.195771058631386 0.634279060216988
ST7L 108.965821368947 0.162189176576908 8.28707122658051e-18 1.6451908152569e-15
RPUSD1 -10.4117861838765 8.98847677809032e-07 0.984544450767335 0.997471170067768
RHBDF1 18704.958356435 0.00222351276227378 0.335031612295327 0.761263050857026
BAIAP3 -318.020619646325 0.00156104718746183 0.41931046347988 0.809841582894012
TEAD3 -105.212256056333 0.00079169195687955 0.565269206677625 0.880366471587429
PSMB1 -127.274509688946 0.000110105868158794 0.830227132726054 0.956871516986359
CDK11A 59.6391886075134 0.00148615221141047 0.430701679919158 0.815110114451391
TFAP2B -581.871854369044 0.000899540151630449 0.539898812935224 0.869501089171695
TFAP2D -1.24166456161739 0.0021498390435714 0.343177567823016 0.767006210549555
CELSR3 -67.4080301275466 0.00153777920539031 0.422800631074542 0.811568724042285
AASS -78.9647343484734 0.0018149893726521 0.383814892422191 0.79157927723267
PLEKHG6 -304.549877034392 0.0047948602141168 0.15660861476168 0.581678676250001
MPND 37.1560759913392 0.000213705768342776 0.765156095855308 0.942088216974816
PGLYRP1 -0.26025085088572 0.000841723628969039 0.553226930953985 0.875657775305082
ST3GAL1 518.837448818342 0.00311850250824632 0.253481961620046 0.69795431942607
MMP25 330.936422908921 0.0112259319432967 0.0299294344882169 0.241534186250946
IL32 631.091104313901 0.00941081035433801 0.0469375888739342 0.316484580074325
PKD1 -1462.78717188618 0.00628411752051755 0.104736254055146 0.48271073328608
MAPK8IP2 79.0660502535829 0.000309325761866461 0.719300848820339 0.929999140402819
MED24 -135.764841745425 0.000196165043722251 0.774729546495252 0.942431573865162
HEATR5B -1300.26825063228 0.013033555405543 0.0192650735379422 0.183768209459241
RPS20 -2070.4946757632 0.000919012050638532 0.535542372909287 0.867729439557773
UBE3C -631.632797239748 0.000214431466684648 0.764769391849212 0.94199375533963
PAX7 -485.042940265945 0.0032014633419395 0.247253386902166 0.690151933068796
TRAF3IP3 133.032300862992 0.00637872061440088 0.10215010962986 0.478004726323344
MLXIPL 27.1076784678262 0.00535027665503024 0.134503571034202 0.543764325082593
ZNF207 -420.382331296158 0.00403466981409717 0.193880158514488 0.631243271325768
HHATL -1.69520222296384 0.00059683221310629 0.617602238657273 0.899375488598363
NCAPD2 1064.26471698401 0.00165843769532007 0.405154944836127 0.804469136667158
PHF7 -14.6444641444761 0.00102669569213164 0.512545910983307 0.856342487561292
SEMA3G -161.45831110171 0.0024805146039491 0.308542986539923 0.744445557122333
NISCH -2452.99012905626 0.00579105556545758 0.119428735239448 0.514327868766914
FUZ 11.6998154689956 1.95357040928062e-06 0.977216304362765 0.996078747817803
PRSS3 -2.32367207253183 3.79466577346852e-05 0.899835507236933 0.976479784336969
ZNF200 -9.45757352965286 0.000192409654141809 0.776838777948544 0.942431573865162
CD4 31.5398677796484 1.8698722362327e-05 0.929593675377185 0.983933393126743
LRRC23 61.5862959602931 0.0189583462679911 0.00470072954003173 0.0686185538187352
HFE -1.7150545314 1.17951309607854e-05 0.94405454742674 0.987469663771223
FMO1 327.04927873076 0.0012942473007484 0.462143315057922 0.831046631415448
LYPLA2 278.900349955144 0.000413521350971506 0.677740026300324 0.920460671943026
TSPAN9 282.074981018499 0.000752258324772551 0.575122600749454 0.883199173191248
APBA3 -23.2698055009811 0.000343942590420594 0.704707615278436 0.927704134564596
ABHD5 -403.458828519511 0.00114835972216476 0.488550949375345 0.845040969067657
UTP18 -912.339431185849 0.000514419304322807 0.643011244976918 0.907392233399107
TTC19 234.04088299595 0.00881789036853907 0.0544841775295514 0.345298366929104
LARS2 169.394977168366 0.0331515964136196 0.000175619181901765 0.00491053494183773
PIK3C2A 2583.77007858022 0.00686429982586751 0.0899241629268442 0.448921921031139
ANLN 359.461942620905 0.00143408017456205 0.438899195868553 0.820999045873484
WIZ -31.6565033495953 0.000106367694131215 0.833090976483653 0.957252994393964
QPCTL -209.773069152779 0.00811442189768558 0.0651333676506309 0.381250838040206
PPP5C 14.6855685932549 3.74982025720804e-05 0.900426050802875 0.976672151243189
CEP68 72.4730074461184 0.00140111261898316 0.444213091778652 0.822935813827317
ZBTB32 10.3681077931221 0.0080915705640535 0.0655143249195449 0.381694243716879
