gene estimate Rsquared pvalue adj_pvalue
CFH 912.226412506359 0.0283766587892693 0.424025194752317 0.959732870710004
NFYA -1961.16718883484 0.0448145173793805 0.224160553820389 0.892131333971532
NIPAL3 -446.200813821181 0.0858162905797758 0.52960506709314 0.9742356287059
ENPP4 -544.520340422075 0.116771576080135 0.425815486738436 0.959732870710004
CFTR 67.0852872455092 0.102787824729153 0.907611658344083 0.996278612631891
ANKIB1 -1405.18555079456 0.00196255109161078 0.897772429975871 0.996194685463424
KRIT1 -12.2221132292114 0.128851549287305 0.963926460008101 0.998936341748187
RAD52 6.26378188219938 0.101798964579371 0.865833304157641 0.995460871211735
LAP3 -2608.07223037029 0.196261734247539 0.190708464251621 0.864904726730073
HECW1 -81.687968586825 0.0480831109628189 0.213177838165292 0.886454165584101
MAD1L1 3527.1403094009 0.47787509609777 0.491800997254684 0.968668519471965
SNX11 132.715519918768 0.0199406563752907 0.422292583236266 0.959732870710004
TMEM176A 358.127924164794 0.0887920268357049 0.354066565073383 0.944598149950776
M6PR 1837.17739432542 0.20091772061195 0.00697478967549587 0.391335520721572
ALS2 323.186155503687 0.202458015796942 0.138056201356014 0.83624245776167
CFLAR 475.129408755165 0.173105164940965 0.270258202928011 0.917196866789456
TFPI 370.561956005197 0.0602548192626918 0.659217844243339 0.983758874312661
ARF5 -1069.32598919472 0.385889252286022 0.745166981346714 0.994723555675772
POLDIP2 -171.289914054952 0.0292522754676764 0.957714797643006 0.998936341748187
PLXND1 2244.3517837248 0.0410152942450316 0.54235368091406 0.974661645268767
FKBP4 -4265.35401406808 0.0114421109574377 0.556828169154582 0.974661645268767
KDM1A 248.527690940482 0.286999027582922 0.897442587414762 0.996194685463424
RBM6 -83.4340022729146 0.0434152430421769 0.577826817317757 0.978997752855363
RECQL 654.123295283831 0.0293924447902718 0.513712876031456 0.969390470243783
SLC22A16 4.13997961005239 0.296591975033764 0.0335539491045954 0.614800513308937
ABCB5 -8.44011146797962 0.0649665664748158 0.56996515508684 0.977743197240441
SLC25A13 -206.5982593093 0.17521673648823 0.920882348423465 0.997411624351052
ST7 -594.500821497142 0.0429095085310522 0.233910199084919 0.893876298239635
CDC27 61.2924993250433 0.0862142666324042 0.93692741760191 0.998393432279021
POLR2J 36.5620428408264 0.262977527213783 0.794052540028247 0.995318525565468
DHX33 778.159713552473 0.100450708484643 0.0639640108855849 0.717125435721098
MEOX1 -38.5982891715815 0.0515241887671815 0.828127604150927 0.995318525565468
LIG3 1073.7023495063 0.201326919204036 0.00739505875365019 0.40060818282705
PRKAR2B 764.387851668916 0.168874351204774 0.514407634698807 0.969390470243783
BZRAP1 -195.53202668062 0.0169001700250707 0.837685536349859 0.995318525565468
PON1 187.841558960091 0.098240480954082 0.0880937821857199 0.769510723226138
WDR54 362.144434931905 0.0193272194544189 0.428289399626127 0.959732870710004
CROT 1851.8406376572 0.158676740091247 0.314339870501906 0.932065553362912
IBTK -21.3413713099686 0.290166394185695 0.982150347025389 0.998936341748187
ZNF195 13.0592284335132 0.0366292554507467 0.943354788699635 0.998793889369947
MYCBP2 -3866.39115047808 0.119895001495951 0.634292475030563 0.983758874312661
PDK2 -400.882511239597 0.121051146496489 0.153097409094185 0.851047923001117
ITGA3 571.519469565009 0.00712648076696749 0.737083426251964 0.994723555675772
GGNBP2 -60.1676738645131 0.0250677022270937 0.853064394376991 0.995318525565468
