gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
SPATA20	0.617418597716051	6.03775885523739e-05	0.61981981981982	7.90176443238307e-05	0.00761926214248021	0.0106592077446492
ST7L	0.714694656822898	9.75942418213194e-07	0.704247104247104	3.55623246691969e-06	0.00028280642518889	0.000907694562449712
DDX11	0.763188365027018	6.22342415379507e-08	0.681081081081081	8.73050514948429e-06	2.86423944584074e-05	0.00189742978582125
TDP1	0.565920417884878	0.000321560875838456	0.584041184041184	0.000240789510124347	0.0244261387627192	0.0265343257353928
TG	0.399005222994953	0.0159257530790651	0.557973761292613	0.000406370167716075	0.291703898683497	0.0362211003529723
OGFR	0.373026834222401	0.0250427448016242	0.611453838638179	7.43903065076566e-05	0.372686034768328	0.0102110483879983
RRP15	0.559320624702581	0.000390725408452752	0.594232812255561	0.000132805828618119	0.0282117935376999	0.0157435273198207
TPSD1	0.437416182379857	0.00763565500945051	0.555932336420147	0.000431148269468046	0.207435294423406	0.0374811562257555
SERPIND1	0.574467424012476	0.000248319451158885	0.687644382937544	3.59643806696588e-06	0.0206502840862959	0.000907694562449712
GSTT2	0.302397196212132	0.0730397434434491	0.788159588159588	2.9737041736851e-07	0.578989820366308	0.000258514016165691
APOL4	0.251077372097415	0.139655044697867	0.557887173179022	0.000407394789246109	0.701773326728394	0.0362211003529723
BIRC7	0.435613581518588	0.00791845642901223	0.556685240061807	0.000421857375652881	0.209495307112683	0.0370855292933499
ACCS	0.537273807930073	0.000727946012858194	0.556756756756757	0.000520911492001749	0.0434767145389504	0.0424542865981426
AKAP3	0.743986400255967	1.99013364454714e-07	0.73976833976834	1.00338198588734e-06	7.41466934996993e-05	0.00046179180338721
MTRF1L	0.597855483291948	0.000117886150851287	0.63963963963964	4.03419377925466e-05	0.0118248877469291	0.00671564513380606
CRYZ	0.669403566860851	8.03738167309831e-06	0.615958815958816	8.96521210338032e-05	0.00161242241564926	0.0114989868027619
GBP3	0.783980650576959	1.55393555800742e-08	0.749147126024447	1.47102558200856e-07	9.35230138911545e-06	0.000143866301920437
ALDH8A1	0.5913626761312	0.000145808549057325	0.6473896249525	1.97685722084644e-05	0.0138057327916053	0.00386673272397563
PYROXD2	0.610232038969831	7.75992324117958e-05	0.562198340825659	0.000359085307169042	0.00910915087054033	0.0342619932108608
CRHR1	0.616609789849494	6.21261739592871e-05	0.613899613899614	9.58383808284906e-05	0.00771547912789623	0.0119022141524144
ZBP1	0.475453041191595	0.00338341146466048	0.560900817582652	0.00037305672034493	0.132359056497518	0.0347469786423696
PEX6	0.650776007344241	1.72933433013611e-05	0.634749034749035	4.7801746731039e-05	0.00287878974446488	0.00748001732847298
GRK4	0.570825362142597	0.000277472576033944	0.637067551318075	2.94287378114017e-05	0.0216015589781863	0.00535466150317225
PAX8	0.599177993341347	0.00011282715204497	0.552638352638353	0.000582139012600168	0.011694323299063	0.0456254709379944
