gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
M6PR	0.15425246355549	0.00152013877988066	0.171798846608788	0.000405213057411255	0.0292451029988234	0.00726535066882266
SPATA20	0.319744201772198	1.94311233769895e-11	0.369307244210163	5.94918646756251e-15	2.19488417916937e-09	5.8800271748771e-13
ELAC2	0.151007226596404	0.00191363798456567	0.18144936033813	0.000189414383580523	0.0350534295777892	0.00382066206880407
CEACAM21	0.166235577331942	0.000625081853015574	0.301241520687836	2.93450708903328e-10	0.0139619271519609	1.78485750407586e-08
NOS2	0.157534975058824	0.00119893860179099	0.149080324583263	0.00218934360820867	0.0241221565505378	0.029795421532024
ST7L	0.402727173874459	0	0.43202902979676	1.58225992492094e-20	0	2.40594792814421e-18
LARS2	0.182075798539014	0.000175619181901787	0.171114498549937	0.00042771447908859	0.00501307173753585	0.00753481269747068
ALOX5	0.204995943384928	2.29886492042475e-05	0.182506929275475	0.00016939472074135	0.000873900236817235	0.00345207231160272
MAN2B2	0.191905909221155	7.55711597779651e-05	0.173262313423782	0.000360741636417814	0.00248039199938313	0.0065874921920454
DDX11	0.306940964722581	1.2974266105914e-10	0.481380927815431	0	1.2212800249936e-08	0
MRE11A	0.163488321661028	0.000770491203823553	0.128700773453306	0.0082732290649466	0.016333174125021	0.0821570467318545
SLC7A9	0.191798769423436	7.6286579103968e-05	0.229019592480041	2.10891320357271e-06	0.00249255364039287	6.85401865242313e-05
OSBPL5	0.149966658877799	0.00205830682419195	0.134668386361966	0.00570524521747841	0.0369190067754316	0.0619661729870904
NLRP2	0.172041167594127	0.000397513266161553	0.152842079911961	0.00168100676301802	0.00964152575318835	0.0239018655894953
BAK1	0.223541638581932	3.72329907216695e-06	0.206428546207468	2.00862757026721e-05	0.000171163521881535	0.000507419111760474
CENPQ	0.191901471458838	7.56006667321785e-05	0.235551021999804	1.05104679505038e-06	0.00248039199938313	3.86540791091317e-05
MRI1	0.285776258734292	2.46071274467852e-09	0.37067476087085	4.49539360865107e-15	1.9456855672173e-07	4.49937686881064e-13
AGA	0.310654402091273	7.55067119939667e-11	0.335098865995813	1.76453677356345e-12	7.46289464670369e-09	1.38140517510557e-10
TRIT1	0.148961563405108	0.00220746876158451	0.14652692469408	0.00261056849312262	0.0387876788841082	0.0344029417918676
UTS2	0.599296255653268	0	0.166675982256666	0.000604289818020999	0	0.0100380663678404
ARHGEF5	0.181434350857038	0.000185277854820143	0.151908207154493	0.00179595684699356	0.005213494655028	0.0251977437407591
RRP12	0.20715234345567	1.87555888739865e-05	0.227382876702427	2.50302085099651e-06	0.000723416786471276	7.91655434753176e-05
GALC	0.150859745390027	0.00193355984665633	0.114422157329747	0.018992582615312	0.0352273219067088	0.146941634774239
MSH4	0.155343017743512	0.00140557500264427	0.160162085312936	0.000988246627920775	0.0273068342651307	0.0153288402796274
GDI2	0.163840394730881	0.000750249572455619	0.144937976586623	0.00290867728816833	0.016069243105513	0.037294455174392
PIGV	0.146387781577502	0.00263551572189735	0.11102499600824	0.0228703478248314	0.0451652906818808	0.165904440597194
UHRF1BP1	0.186798860361264	0.000117744397705177	0.174386152172874	0.00033622076818805	0.00362258736441571	0.00621090422214089
WDR18	0.151215973550516	0.00188576126684481	0.152968797199207	0.00168374087939154	0.0347569098763215	0.0239018655894953
ZMYND12	0.176020311045719	0.000289035597666354	0.1489477210818	0.00220959024893481	0.00751777786430217	0.0299164898943965
RRP15	0.186975876811856	0.000115970982804026	0.197235845608322	4.69856718449917e-05	0.00358196312902903	0.00107998752115799
POLR1A	0.165325415391278	0.000670169505240459	0.112019780408183	0.0216695012673085	0.0147605300221067	0.160281334443974
HES2	0.288580568122046	1.68927183352707e-09	0.135162356179916	0.00552881513534187	1.34919923108066e-07	0.0608862691854431
CLTCL1	0.211254082082817	1.26607629034048e-05	0.233038912487069	1.37718394387541e-06	0.000513377703985752	4.77604975623812e-05
CPSF1	0.155860636493939	0.00135402334810886	0.144650641848472	0.00298994376402158	0.0265006500334078	0.037951707155074
TRNT1	0.14659737299226	0.00259801988757768	0.114304340889526	0.0191602486279394	0.0447549961897097	0.14794930263781
TTC38	0.324322381647035	9.63762403216606e-12	0.113088480765805	0.0204407309693024	1.1373834809304e-09	0.153800801214958
SEC31B	0.21067472259395	1.33896889620289e-05	0.209257278491783	1.53449374570213e-05	0.000534708437488698	0.000404441401575559
DDX1	0.219142257674477	5.81765874363427e-06	0.209769388126133	1.46091504611631e-05	0.000251367364403913	0.000387632727169183
ASAP3	0.179069426792349	0.000225356562087775	0.128393682819419	0.00842967593760604	0.0061233482351479	0.0830055387778966
PPP1R13B	-0.168761865504864	0.000514244141119162	-0.157561955728612	0.00121129593520648	0.0119058095282507	0.0181053250655531
MUL1	0.29887548864497	4.0966585679314e-10	0.283402691895724	3.37230444117661e-09	3.63958194344197e-08	1.85172300113774e-07
SPAG7	0.179483025184026	0.000217807792747493	0.140684399808558	0.00386517608378054	0.00595919106316411	0.0464311923909269
HAUS4	0.245213256362953	3.6130578262572e-07	0.263210918753184	4.91966897712375e-08	2.07017740813157e-05	2.31546563107842e-06
RPGRIP1	0.184078724299004	0.000148409611650635	0.155741603532477	0.00136572201285377	0.00441155939594576	0.0200348125336452
CWF19L1	0.170398350957684	0.000452502326321991	0.222652379791593	4.31814560189822e-06	0.0107123829168502	0.000131321451054651
FAM21A	0.346569690451998	2.68896016564213e-13	0.367179453041095	7.49871643616237e-15	3.73010667188286e-11	7.23077449521169e-13
GSTT2	0.494799429426721	0	0.626021203553956	0	0	0
SUSD2	0.270605033260492	1.7537046925753e-08	0.313113534009344	6.67351076213967e-11	1.27215990864155e-06	4.36094624762301e-09
CRYBB3	0.173010646485362	0.000368050229031969	0.239634123418346	6.7304380302221e-07	0.00912279987760431	2.58337735461001e-05
SLC25A1	0.162207726898208	0.000848452994264282	0.125119276069725	0.0102691093932308	0.01784233464268	0.0957316479495988
ARSA	0.14450675782883	0.00299475530561955	0.180415826782303	0.000206280635883191	0.0493323545865286	0.00408787215019648
SAMM50	0.15274485018412	0.00169265218384673	0.145358128852366	0.00285057059884318	0.0317768327637132	0.0368770153313345
FAM118A	0.398531838781006	0	0.308964660473456	1.21360300594148e-10	0	7.61584045077722e-09
GSTZ1	0.15268654412101	0.0016996710491195	0.0922702023740011	0.0588634539715509	0.0317768327637132	0.303807657018964
SIRPB1	0.265394010813536	3.35007963592204e-08	0.330348487560263	5.01053563601516e-12	2.34416634347218e-06	3.77317193085446e-10
CEP192	0.152026846621493	0.00178096468524913	0.0667454086702489	0.172152468882424	0.0331343241559174	0.543831231104005
MGRN1	0.149207966303081	0.00217001474911704	0.166965313214442	0.000600512715649216	0.0382144913613997	0.00999632430029127
MTHFSD	0.209514018527368	1.49717661419579e-05	0.113143484536449	0.0203791610738666	0.000584207773972391	0.153611083518649
SNX16	0.225684369808819	2.98604856574514e-06	0.25562389809466	1.20503105584931e-07	0.000140539797674683	5.41487457320953e-06
KLHDC4	0.220413129617648	5.11873759867498e-06	0.205889408184206	2.20148426183401e-05	0.00022485476773735	0.000547394215670487
