gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
RAD52	0.1397827085756	0.00410134794900108	0.215089933547961	8.70571061165683e-06	0.0630921366395944	0.000241530013355686
M6PR	0.15425246355549	0.00152013877988066	0.171798846608788	0.000405213057411255	0.0292451029988234	0.00726535066882266
ASB4	0.128722249899423	0.00826238539137347	0.21644287259305	7.61601478907015e-06	0.103864358171049	0.000212790914972359
SPATA20	0.319744201772198	1.94311233769895e-11	0.369307244210163	5.94918646756251e-15	2.19488417916937e-09	5.8800271748771e-13
ELAC2	0.151007226596404	0.00191363798456567	0.18144936033813	0.000189414383580523	0.0350534295777892	0.00382066206880407
CEACAM21	0.166235577331942	0.000625081853015574	0.301241520687836	2.93450708903328e-10	0.0139619271519609	1.78485750407586e-08
NOS2	0.157534975058824	0.00119893860179099	0.149080324583263	0.00218934360820867	0.0241221565505378	0.029795421532024
ST7L	0.402727173874459	0	0.43202902979676	1.58225992492094e-20	0	2.40594792814421e-18
IL32	0.0970093312745635	0.0469375888739343	0.140827328953112	0.00385620732525064	0.318099899670846	0.0464311923909269
LRRC23	0.137689310652611	0.00470072954003165	0.221652374122626	4.77573055923938e-06	0.0693445307332653	0.000143580614189756
LARS2	0.182075798539014	0.000175619181901787	0.171114498549937	0.00042771447908859	0.00501307173753585	0.00753481269747068
ZBTB32	0.0899531576102445	0.0655143249195449	0.234564349880667	1.16916977030641e-06	0.383435800991	4.22129012502867e-05
ALOX5	0.204995943384928	2.29886492042475e-05	0.182506929275475	0.00016939472074135	0.000873900236817235	0.00345207231160272
MAN2B2	0.191905909221155	7.55711597779651e-05	0.173262313423782	0.000360741636417814	0.00248039199938313	0.0065874921920454
DDX11	0.306940964722581	1.2974266105914e-10	0.481380927815431	0	1.2212800249936e-08	0
SLC7A9	0.191798769423436	7.6286579103968e-05	0.229019592480041	2.10891320357271e-06	0.00249255364039287	6.85401865242313e-05
CPS1	0.0189283586224854	0.698908365861389	0.154654348833983	0.00147695861391451	0.926512764546014	0.0215070198162468
NLRP2	0.172041167594127	0.000397513266161553	0.152842079911961	0.00168100676301802	0.00964152575318835	0.0239018655894953
SNAPC1	0.10539751705596	0.0308046410077429	0.174429254202993	0.000328586229317069	0.246032622674973	0.00612766819625015
TFB1M	0.126962773748022	0.00919394996332601	0.145614239539969	0.00277820771658868	0.112202118882495	0.0361304085774123
BAK1	0.223541638581932	3.72329907216695e-06	0.206428546207468	2.00862757026721e-05	0.000171163521881535	0.000507419111760474
CENPQ	0.191901471458838	7.56006667321785e-05	0.235551021999804	1.05104679505038e-06	0.00248039199938313	3.86540791091317e-05
MYOM2	-0.0145492744989521	0.766238624126928	0.321747245952657	1.43184836418184e-11	0.942431890369826	9.93125001367177e-10
MRI1	0.285776258734292	2.46071274467852e-09	0.37067476087085	4.49539360865107e-15	1.9456855672173e-07	4.49937686881064e-13
AGA	0.310654402091273	7.55067119939667e-11	0.335098865995813	1.76453677356345e-12	7.46289464670369e-09	1.38140517510557e-10
TG	0.0885851362095296	0.0697375751967058	0.285363133857495	2.60000999200633e-09	0.398540196756403	1.45803397211305e-07
TRIT1	0.148961563405108	0.00220746876158451	0.14652692469408	0.00261056849312262	0.0387876788841082	0.0344029417918676
UTS2	0.599296255653268	0	0.166675982256666	0.000604289818020999	0	0.0100380663678404
LTBP1	0.11753344592066	0.015956966838462	0.144172292516307	0.00306310729998691	0.162592444319226	0.0387519830735944
ARHGEF5	0.181434350857038	0.000185277854820143	0.151908207154493	0.00179595684699356	0.005213494655028	0.0251977437407591
RRP12	0.20715234345567	1.87555888739865e-05	0.227382876702427	2.50302085099651e-06	0.000723416786471276	7.91655434753176e-05
LY75	0.119093843912029	0.0146012619085745	0.180254370140246	0.000204357660225083	0.154638736688981	0.00407016629571722
