gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
CFH	-0.177276966125292	0.300975144890756	-0.0604929533397573	0.725986347883435	0.820234126932677	0.966494731082252
NFYA	0.0876732794788045	0.611133767045549	0.13091687746414	0.446618843943516	0.925888608620196	0.893167653860407
NIPAL3	0.311484858838616	0.0644204897242544	0.262548262548263	0.121770920073837	0.560325876544796	0.670468457887194
ENPP4	0.119464526065439	0.487693449675712	-0.0437580437580438	0.799504536551754	0.889560587289253	0.978311462931018
CFTR	-0.0493336747059425	0.775085240350251	0.0940980684971585	0.585150648839193	0.962004365462896	0.941212167944967
ANKIB1	-0.0213858658403944	0.901473054066901	-0.0102908610032171	0.952500055264421	0.984646226754357	0.996252322052685
KRIT1	-0.111187420505428	0.518546824243885	-0.0913770913770914	0.594839294393161	0.898783861959273	0.945555188811883
RAD52	0.219734799597273	0.197855566925816	0.377863577863578	0.0237272537506047	0.768253568494215	0.391764916319943
LAP3	-0.175489302780493	0.30595431123523	-0.139951085500716	0.415593517516751	0.821150253885653	0.883108006803655
HECW1	0.219385905867814	0.19858647335142	0.00797940797940798	0.963559432868662	0.768253568494215	0.996611313543779
MAD1L1	-0.149600890580988	0.383840000564026	-0.150412631364389	0.381235300492304	0.861649257619066	0.868849090580932
SNX11	0.363570676211997	0.0292841136613982	0.164053070881297	0.339032412767171	0.402692603232731	0.849372269449357
TMEM176A	0.0574600070340938	0.73923388849252	-0.0638352638352638	0.710625590936787	0.955074811593473	0.964094784721592
M6PR	0.166218284526904	0.332607527181119	0.123591895683703	0.472670236253915	0.835731350978656	0.905676148680404
ALS2	0.192107490951071	0.261666785075403	0.197206671630122	0.248973454942493	0.802446496203681	0.783817383874607
CFLAR	-0.285081768950575	0.0919307893678551	-0.248391248391248	0.143791164149817	0.626461857659456	0.692242255957938
TFPI	-0.0822747985951379	0.633335614692029	0.00985152557063877	0.954525768292679	0.931118667591898	0.996252322052685
ARF5	-0.0727058038191025	0.673464606551954	-0.187935202785481	0.272365101331575	0.944468019656299	0.807669319484117
POLDIP2	0.375492500304605	0.0240245192258046	0.360247525340607	0.0309079915574083	0.367560338645112	0.424252852535373
PLXND1	0.182990501311944	0.28540905481523	0.190990990990991	0.263417392250448	0.813723447353852	0.800690628192504
FKBP4	0.0951994980316671	0.580745982134818	0.0906048906048906	0.597970059108495	0.917260112521714	0.945557982378321
KDM1A	0.239789893052837	0.158950034916311	0.183785222230386	0.283285867253572	0.728566855092624	0.811186190638962
RBM6	0.259544344026621	0.126354049198582	0.261636542372752	0.123217603060734	0.681392492770234	0.67169232305534
RECQL	0.0504483465317013	0.770138543400176	0.0107007188441178	0.950610523201746	0.96196723258781	0.996252322052685
CCDC132	NA	NA	NA	NA	NA	NA
SLC22A16	-0.0747629853506408	0.6647574642843	-0.0821498443420975	0.633853356014154	0.941485694084238	0.949119069743505
ABCB5	0.261616400359092	0.123247518825099	0.181209781209781	0.289008177951121	0.677168951746892	0.816023090685519
SLC25A13	-0.291495153052114	0.0845399709936198	-0.100575412157162	0.559463430943033	0.609061448484421	0.937559878807942
ST7	0.100859446661751	0.558349110697286	0.0512226512226512	0.766098134752765	0.912522352148601	0.973834574541939
CDC27	0.124750246631063	0.468498148485823	0.0182559923898086	0.915837118252183	0.882494576184593	0.991276054224987
DVL2	NA	NA	NA	NA	NA	NA
SKAP2	NA	NA	NA	NA	NA	NA
POLR2J	0.0680015970061141	0.6935316340159	0.0841698841698842	0.624335966751129	0.948715267276267	0.949095507368413
DHX33	0.196910194001729	0.249700007850676	0.219447841370822	0.198456585642272	0.802446496203681	0.751685049470051
MEOX1	-0.222866952167959	0.191378021341693	-0.0948300739048196	0.582221672729203	0.766398197477586	0.941212167944967
LIG3	0.205006989308078	0.230363978634687	0.19990989624124	0.242414004961103	0.786627309011926	0.777761133478682
PRKAR2B	-0.110864298552767	0.51977049840421	-0.0563706563706564	0.743297983858537	0.899311008296006	0.970392695763256
BZRAP1	0.0363198067073679	0.833435617501027	-0.0387876313035366	0.8222929034327	0.973808279384124	0.981335247531888
PON1	-0.0418559547932461	0.80848664961717	0.0643907604413729	0.709075970312567	0.969856955468405	0.963418800837826
WDR54	-0.197366192819582	0.248583114404709	-0.145955338483585	0.395665440524855	0.802446496203681	0.874685500201748
CROT	0.599509793751643	0.000111588974011756	0.161906310151252	0.345477069735761	0.011694323299063	0.850217552468147
IBTK	0.00404223072932417	0.981333199237713	-0.0749050319088248	0.664157819178624	0.995440539823728	0.956356931118994
ZNF195	0.370582811842028	0.0260869789443654	0.446846846846847	0.00675663352510727	0.381476750110985	0.211455602801757
MYCBP2	0.276322980144248	0.102812963125883	0.232637787216346	0.172132328721123	0.645881763370167	0.731123648279156
PDK2	0.157786633421224	0.358051670481174	0.109395109395109	0.523940643601058	0.845308855380499	0.922319726378703
ITGA3	0.153974370810314	0.369929502648608	0.0612612612612613	0.721837360915591	0.854288202102335	0.964780022360105
GGNBP2	0.0437009867937844	0.800211784944606	0.00334620334620335	0.985061159939791	0.969172911053653	0.998719517347277
ASB4	0.39409506634779	0.0173940763850198	0.317362194970665	0.0592874137525525	0.302003982472413	0.532101689710384
GDE1	0.351958618742502	0.0352820203507731	0.396934866793308	0.0165316529705226	0.445955617486993	0.343999076705767
OSBPL7	0.229969069949996	0.177245763955859	0.349089792066321	0.0369085194443341	0.74724736432884	0.445579742607279
TMEM98	0.304353721073752	0.0711119080745519	0.326914384787704	0.0516416100049609	0.576756245059056	0.511448046428879
ABCC8	0.0471346769431992	0.784869400535361	0.282368082368082	0.0953484260148624	0.965456973536257	0.632379904194793
SYNRG	0.0164432770025787	0.924168603466824	-0.0534174286829524	0.757006328427621	0.98743868091369	0.97211143853264
CACNG3	NA	NA	NA	NA	NA	NA
TMEM132A	0.00602835782963789	0.972164341977113	-0.0435006435006435	0.800663211512118	0.995440539823728	0.978902166594317
TAC1	0.0709310975821723	0.681009934589007	-0.198390734307534	0.246085857222507	0.945824983013806	0.780136040076537
ZNF263	0.0561956485456645	0.744778607375931	0.0535392535392535	0.755812515508783	0.956401619716542	0.97196476118465
SPATA20	0.617418597716051	6.03775885523739e-05	0.61981981981982	7.90176443238307e-05	0.00761926214248021	0.0106592077446492
TNFRSF12A	-0.118289036742628	0.492016670093835	-0.123809523809524	0.4704133707024	0.891286643568238	0.904803330036291
MAP3K9	-0.102007982236968	0.553853731524308	-0.222339035914144	0.192459218426936	0.911197819224525	0.748533458607794
JHDM1D	-0.0163792971747524	0.924462813820335	0.0332046332046332	0.847332679697009	0.98743868091369	0.983265478460589
AGK	-0.0425548828694561	0.805349537087781	-0.0899471821204622	0.601881830369059	0.969856955468405	0.945919986031451
ALDH3B1	-0.081992698542834	0.634504724388272	-0.0491600261988384	0.77585664957539	0.931118667591898	0.977008301327555
PHTF2	0.0734126157185078	0.670468197304638	0.0522522522522523	0.761521707104813	0.943139729541799	0.972359951490569
FARP2	0.366492454372387	0.0279148982925954	0.367567567567568	0.0280728958713589	0.396614886761459	0.410546424855163
USH1C	0.0988225097207868	0.566363098792797	-0.0204934869707013	0.905565547498156	0.914220112431368	0.989405335746106
IFRD1	0.259768950413107	0.126014521974623	0.190990990990991	0.263417392250448	0.681392492770234	0.800690628192504
LGALS14	-0.113722889582633	0.508994529061192	-0.205848801731903	0.22841370778094	0.893856057399226	0.772192438138269
COX10	-0.0772539282998317	0.654272032203246	-0.0928107116483799	0.590317550315847	0.938888900380638	0.944941183536107
GTF2IRD1	0.0322392468897829	0.851929450837347	-0.13864166182073	0.420013412817994	0.975792230281915	0.883906253557239
VPS41	0.257725842861524	0.129128086893476	0.193619566264963	0.257859073925909	0.68448384271989	0.794191085486032
ELAC2	0.446765131946394	0.00630353307662945	0.433976833976834	0.00869682721122628	0.190431588075882	0.24686747356235
MYH13	-0.347998174902258	0.0375432112755442	-0.473251384304254	0.00355559895026341	0.452738658175049	0.147082964949567
CDKL3	0.18323246239732	0.284761543236508	-0.00463947844059204	0.978575734357086	0.813723447353852	0.997643266729759
UPP2	-0.337720878560063	0.0439640821471738	-0.256775972405656	0.130594907658699	0.482618898820327	0.675120160677438
CCDC124	0.105405719948259	0.540654976221921	0.131788931788932	0.442090011095981	0.906235619648727	0.890300584282994
CEACAM21	0.560910678651755	0.000372948735813061	0.467989369698965	0.00399826746787138	0.0274578960063745	0.152702868120852
NOS2	0.557493619360056	0.000412080900401346	0.417943110683245	0.0111983103819285	0.0285320439357534	0.2858016771751
DNAH9	0.118471466476466	0.491344444498763	0.0900900900900901	0.60006124726347	0.891286643568238	0.945557982378321
KIAA0100	-0.262068727746191	0.122577007025249	-0.259337912116464	0.126666702392749	0.674906757892713	0.675120160677438
SLC13A2	-0.191572752986723	0.26302220003221	-0.114776024914415	0.505052932574057	0.802446496203681	0.917198472833898
TRAPPC6A	0.124210572191916	0.470439492883325	0.0639574042698172	0.710949477961682	0.883573373980002	0.964224309485507
MATK	0.190422854850423	0.265952531141237	0.0141570141570142	0.93493289661323	0.802446496203681	0.996252322052685
CEACAM7	-0.297325819648039	0.0782270420321906	-0.178265529964593	0.298243972817801	0.589369513956272	0.823879806802624
ST7L	0.714694656822898	9.75942418213194e-07	0.704247104247104	3.55623246691969e-06	0.00028280642518889	0.000907694562449712
RPUSD1	-0.103052190281147	0.549781440517607	-0.0843040094415766	0.624951834976564	0.90924608164217	0.949095507368413
RHBDF1	-0.00407675015433983	0.981173818556539	0.0542537394986806	0.753319223505232	0.995440539823728	0.97196476118465
BAIAP3	-0.0202806699167567	0.906541894788066	-0.0483912483912484	0.778723645232743	0.984646226754357	0.977318746322936
TEAD3	-0.00701184999143499	0.967625327440868	0.0156786549111742	0.927685345076991	0.995440539823728	0.994792759805485
PSMB1	-0.324016957122202	0.0538724775684834	-0.270428453989396	0.110669479454286	0.523600328566229	0.661089852094069
CDK11A	0.139114094423196	0.418415706696848	0.187129987129987	0.273332242235034	0.868887848346607	0.807880917449805
TFAP2B	0.313067303568864	0.063005190507998	0.23324118453877	0.170990943103681	0.558227873853884	0.730900228241604
TFAP2D	0.0543154502105684	0.753047366593329	0.198508759324507	0.245799261272053	0.956984075802459	0.779868131493581
CELSR3	0.2152789736252	0.207332154410373	0.286229086229086	0.0907613099900036	0.772151715535996	0.626205017073887
AASS	0.0602813267183634	0.726908221490054	0.137984297706325	0.422242219238999	0.952431638992522	0.884934137491323
PLEKHG6	-0.0227258681970147	0.895332464453966	-0.101245731548601	0.556835298955814	0.98399792132151	0.93591393749308
MPND	-0.0235777245060081	0.891431903928864	0.0875160875160875	0.61056481656363	0.983302300343921	0.947126322136269
PGLYRP1	-0.113100560059428	0.511330951063605	-0.161809764386521	0.345768644736755	0.894809553368918	0.850217552468147
ST3GAL1	0.0371977986758852	0.829467530024464	0.0378378378378378	0.826257209034718	0.973122500361584	0.982147325174233
MMP25	-0.0660924837826336	0.701735328685661	-0.0176603516410874	0.918573833064197	0.948944065377579	0.992370554275361
IL32	0.0943902795205197	0.583980639673432	0.202316602316602	0.235730802041	0.917260112521714	0.776450140189081
PKD1	-0.0342349395342133	0.842874261254793	0.0383526383526384	0.823922663365432	0.974799110181435	0.981631021497051
MAPK8IP2	0.255879962782113	0.131989834708713	0.205148005148005	0.229132340690528	0.691404775168829	0.772192438138269
MED24	-0.00555607894917961	0.974344318931227	-0.0320483944289352	0.85279641488121	0.995440539823728	0.983960601972955
HEATR5B	0.247874009190845	0.144946562403848	0.0908160071686319	0.598362802852131	0.710120165465061	0.945557982378321
RPS20	-0.0454260378517417	0.792494336172053	0.0213642213642214	0.9016403305635	0.967760263501107	0.988740242377649
UBE3C	-0.0727961580948377	0.673081287690613	0.0731228927188095	0.671695826665178	0.944468019656299	0.956998039026553
REV3L	NA	NA	NA	NA	NA	NA
PAX7	-0.16622992480058	0.332573191045664	-0.144187424331838	0.401475034844497	0.835731350978656	0.877022494346935
TRAF3IP3	0.121638135216074	0.479751217611641	0.0980694980694981	0.568014939236298	0.885903593720433	0.93899715379609
MLXIPL	-0.147211145311867	0.391568333909574	-0.0885456885456886	0.606353918113391	0.865030923326028	0.94692875355672
