gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
CFH	0.0319595779051324	0.513632951549478	0.00649871351895688	0.894360671374184	0.856813448924415	0.980455958264685
NFYA	0.00311589482158752	0.949235632212843	0.0466943174086925	0.339771133634525	0.988835226499484	0.734035615750871
NIPAL3	-0.123075123004372	0.0115903781192175	-0.103419579147052	0.0341041141877827	0.130921599698075	0.218349174803885
ENPP4	-0.0102368624931079	0.834312805333643	0.0241575713500157	0.621395689559006	0.95773974328878	0.889296528454023
CFTR	0.0491637736024688	0.314818524513282	-0.0798702800511144	0.102135521626552	0.748049350316987	0.41231223154025
ANKIB1	-0.0102755416758009	0.833695865077802	0.0257218754760186	0.599126172729749	0.957498673536172	0.875932897135374
KRIT1	-0.00194851628469436	0.968241631359365	0.0064205101284803	0.895624606016357	0.994270984306298	0.980530576206782
RAD52	0.1397827085756	0.00410134794900108	0.215089933547961	8.70571061165683e-06	0.0630921366395944	0.000241530013355686
LAP3	-0.00651586713967258	0.894083467668847	0.0474863209655307	0.331634233918797	0.975893419822965	0.728011014553111
HECW1	-0.0597083428601741	0.222048255192646	-0.0587058424637664	0.229921228088693	0.662541718418209	0.625525302567543
MAD1L1	0.00855516584310297	0.86122940361842	-0.017490210722738	0.720791074724139	0.968229542970321	0.930871662086066
SNX11	0.094155130813375	0.053837651066601	0.0763811733156726	0.11806034673554	0.344709988033119	0.445369147796843
TMEM176A	0.108026819123109	0.0268442621383875	0.137733374652001	0.00468733947091592	0.226632231777762	0.0540273953302218
M6PR	0.15425246355549	0.00152013877988066	0.171798846608788	0.000405213057411255	0.0292451029988234	0.00726535066882266
ALS2	0.0665472201420708	0.173432490945302	0.0292150674690615	0.550458113002984	0.609751314319478	0.85647696523626
CFLAR	0.0865961340245411	0.076272641766117	0.102707263703898	0.035363896885119	0.414773808305212	0.223878714707195
TFPI	0.0390245483096412	0.425052946389457	0.0235582597568917	0.630211915240598	0.813578709053845	0.891588050421795
ARF5	-0.0202749570326559	0.678641802558144	-0.0224166533182348	0.646885554477947	0.921115928229727	0.899189094608207
POLDIP2	0.0191732841647733	0.695205728230967	0.0307343273794839	0.529913863040588	0.925366305869126	0.848340930980186
PLXND1	0.00153099841823069	0.975044135174167	0.0212887352845343	0.663534634640533	0.99595323302185	0.904736740145317
FKBP4	-0.0105061523886865	0.830019710437239	-0.0180001384850673	0.713004870619763	0.95707199569501	0.928785751563504
KDM1A	0.0784586490656585	0.108360143189896	0.0974106801525911	0.0460295480167716	0.493550490900061	0.263544993605078
RBM6	0.0407792653199564	0.404516379228753	0.0330349250936779	0.499560703179912	0.804842014070305	0.834142715817088
RECQL	-0.026044863544351	0.594545645895024	0.0422302846713876	0.387989506087498	0.891174025792828	0.767341927122023
CCDC132	NA	NA	NA	NA	NA	NA
SLC22A16	0.0177098385946907	0.717433933950533	0.118099859744166	0.0154526125586018	0.929959035368338	0.127407515642194
ABCB5	0.0571588644404133	0.242454867813094	0.066700817162894	0.172439852150823	0.686883066928748	0.544304156070483
SLC25A13	0.0283077280856333	0.562911225919884	0.0600166962140202	0.219665798834515	0.880275971068634	0.613094765755211
ST7	-0.00690919092427189	0.887730930833238	0.061671654136276	0.207191070891568	0.973144110647222	0.598998002759085
CDC27	0.0279234248223851	0.568226264293707	-0.00336875562757576	0.945122242601595	0.881021395115644	0.991191511704785
DVL2	NA	NA	NA	NA	NA	NA
SKAP2	NA	NA	NA	NA	NA	NA
POLR2J	0.0606309898156277	0.214974136830954	0.0834413541379	0.0876480882331137	0.657308778005549	0.379328644586333
DHX33	0.0311112256943381	0.524878017622774	0.0520229271406358	0.28746656263232	0.863907261728408	0.685552651789475
MEOX1	0.0941964960277292	0.0537319312014091	0.0644885114024228	0.187150471459566	0.344709988033119	0.570275188810674
LIG3	0.082112798351541	0.0928337464015998	0.0856602147661362	0.0795154799199182	0.457653398210328	0.357842287835398
PRKAR2B	-0.0478918730804477	0.32751666672616	-0.0255783762946502	0.601025011775399	0.759435273842742	0.87639365232937
BZRAP1	-0.0400798740306359	0.412629957968301	-0.0214874352357195	0.660589307369743	0.807858487236518	0.903867795176482
PON1	0.0565298386798009	0.247685729554511	0.133956051882196	0.00596858040614489	0.691299351778158	0.064208932342024
WDR54	0.0622589248398817	0.202889883085547	0.071384763665163	0.144164790645796	0.644792440354157	0.497195345144149
CROT	0.0496389673247545	0.310158246400315	0.0261877235226991	0.59252474444176	0.745746944573033	0.873291020690991
IBTK	-0.0963783035300043	0.0483956116465982	-0.0984767303918263	0.0436889611338162	0.324842191247583	0.255399239568779
ZNF195	0.116965678358102	0.0164769422495397	0.136591801216884	0.00507642001604806	0.166602534996304	0.0575885983743071
MYCBP2	0.00425293241079109	0.930751148360286	-0.0207185270003645	0.672015505376135	0.984278364328578	0.907271763801951
PDK2	-0.0921208211556933	0.0592543794732238	-0.0655431315208298	0.179952583474827	0.363529067942404	0.557120233960634
ITGA3	0.0276490192720115	0.572035957975018	0.00154236396817492	0.97485893320557	0.882795933241965	0.996628210546332
