gene	r_squared	pvalue	pc1_r_squared	pc1_pvalue	pc1_2_r_squared	pc1_2_pvalue	pc1_3_r_squared	pc1_3_pvalue	pc1_4_r_squared	pc1_4_pvalue	pc1_5_r_squared	pc1_5_pvalue
CFH	0.00102141461987422	0.513632951549482	0.00512514957775924	0.56348962432764	0.00889381915879606	0.53254049191988	0.24858581394564	0.0683023127667685	0.318352286289824	0.096410716403944	0.360884141012663	0.168344315994746
NFYA	9.70880053919811e-06	0.949235632212837	0.0627603705593412	0.864752520492604	0.174479579750131	0.878916369674558	0.193439108728036	0.72510707588394	0.228181460014708	0.888742295060205	0.236271347472378	0.833362645430067
NIPAL3	0.0151474859025413	0.0115903781192175	0.0555425348150826	0.0108898470391619	0.0644860006203764	0.0115779543939512	0.0645308920304324	0.0124041801087388	0.159948692166085	0.0312029682424518	0.164640066407774	0.0310551037704529
ENPP4	0.0001047933537028	0.834312805333643	0.0399883059941995	0.624508324397674	0.074714837582835	0.443293306396279	0.0748038043023663	0.449268210041437	0.0805385473927159	0.422966814523465	0.0806759959742498	0.431802318120755
CFTR	0.00241707663483481	0.314818524513283	0.00603501370579572	0.32852543706524	0.0263094189439769	0.35038332148858	0.0263097308857141	0.351856988286094	0.0264368329033409	0.352905805804592	0.0271885001738562	0.343093242837268
ANKIB1	0.000105586756731118	0.833695865077801	0.437002868323112	0.551589300687894	0.449636785261402	0.505759481172573	0.469122454535251	0.586906587350914	0.472153660722028	0.682007333488074	0.475814911158123	0.650632141493389
KRIT1	3.79671571171911e-06	0.968241631359364	0.222419312970713	0.814303806342939	0.233254146923236	0.777365540803815	0.243239527508938	0.706041141712645	0.340737888326769	0.715327343492745	0.390199698619417	0.884444943980192
RAD52	0.0195392056167312	0.00410134794900125	0.0272284164594353	0.00770569809590569	0.0280189645549821	0.00840507187028024	0.0313116782422778	0.00808581547820279	0.30224411962261	0.00100193730129899	0.318762719966299	0.000984413954760308
LAP3	4.2456524581865e-05	0.894083467668847	0.022405267875775	0.685061183838326	0.0974036432590189	0.827486503295544	0.135372327191133	0.890500750971833	0.261984596837629	0.855169272296492	0.41035727647867	0.152877351660841
HECW1	0.0035650862071081	0.222048255192646	0.0238414286442772	0.294538420212102	0.0323663319755312	0.277114146616878	0.0630553280872296	0.337385558211149	0.0853214207052861	0.404676823441547	0.162155899646351	0.245041017401292
