gene estimate Rsquared pvalue adj_pvalue
CFH -528.327967588165 0.727285216630594 0.831233329999979 0.966521295220471
NFYA 454.8722404335 0.808530323992159 0.162474300361664 0.582768879907834
NIPAL3 540.656519514925 0.871541424087614 0.149778676988224 0.564583600866273
ENPP4 114.185721185084 0.889409469169606 0.512368675946898 0.865885465369037
CFTR 53.4968035892288 0.29347943830363 0.964891422466701 0.992288880111439
ANKIB1 -3529.92335699272 0.946779614466176 0.12727626700021 0.525877223252938
KRIT1 84.1658411613512 0.94895606056372 0.146096043953011 0.558618030307384
RAD52 38.7585022158513 0.766865630003349 0.0338171785020782 0.289418993330763
LAP3 -502.884163396914 0.382938185394517 0.507405525347054 0.863854868716273
HECW1 28.9580662459386 0.41887471916373 0.253445232246638 0.692370650655293
MAD1L1 555.117870751838 0.878679647477552 0.873569028662139 0.976498303089088
SNX11 165.473901023322 0.844004794235846 0.00398843166776309 0.0783209710779202
TMEM176A 93.4874695577354 0.515857745507802 0.794054579660774 0.956899046334238
M6PR 570.862374807829 0.601051240282983 0.0363887428517006 0.30251997235185
ALS2 66.197070481782 0.913093587942014 0.192342133645828 0.626264184536494
CFLAR -56.3580330164088 0.90906753614528 0.898734402573083 0.982307768741152
TFPI 848.812119807536 0.676023311973805 0.478076582781264 0.849087933298244
ARF5 615.699142086499 0.959751874838823 0.41486160705194 0.81931722483158
POLDIP2 393.820091483669 0.906897949682028 0.507748681431276 0.863854868716273
PLXND1 561.457449662433 0.912400116832143 0.677969300123141 0.927343174304965
FKBP4 -346.368740260927 0.934541911407299 0.730308663054875 0.940726248193069
KDM1A 187.37291394165 0.932558569391725 0.612139629321278 0.905403658295023
RBM6 192.183165312966 0.604204928434245 0.032803858167771 0.286181320072593
RECQL 396.363055903224 0.960485912697066 0.251226696087506 0.691341573314512
SLC22A16 5.69969065613772 0.517766175832433 0.546685233180726 0.880889102430841
ABCB5 110.69624884816 0.213000173100619 0.238398297424064 0.684447233561883
SLC25A13 -512.082189319983 0.88205961197012 0.285182057350498 0.726581369279731
ST7 -96.8001690981269 0.847619639376002 0.638923052630938 0.914907499177052
CDC27 441.232360886799 0.921547907083894 0.0219152106325051 0.228104208281035
POLR2J 163.779873045902 0.896617358564376 0.00462051278579054 0.0861325043773971
DHX33 -27.9806493964379 0.949048590042013 0.860707495703905 0.972911177803309
