gene	PearsonCorrelation
CFH	0.0319595779051324
NFYA	0.00311589482158752
NIPAL3	-0.123075123004372
ENPP4	-0.0102368624931079
CFTR	0.0491637736024688
ANKIB1	-0.0102755416758009
KRIT1	-0.00194851628472936
RAD52	0.1397827085756
LAP3	-0.00651586713967258
HECW1	-0.0597083428601741
MAD1L1	0.00855516584310297
SNX11	0.094155130813375
TMEM176A	0.108026819123109
M6PR	0.15425246355549
ALS2	0.0665472201420709
CFLAR	0.0865961340245411
TFPI	0.0390245483096412
ARF5	-0.0202749570326559
POLDIP2	0.0191732841647733
PLXND1	0.001530998418146
FKBP4	-0.0105061523886865
KDM1A	0.0784586490656585
RBM6	0.0407792653200799
RECQL	-0.026044863544351
CCDC132	NA
SLC22A16	0.0177098385946907
ABCB5	0.0571588644404129
SLC25A13	0.0283077280856333
ST7	-0.0069091909242719
CDC27	0.0279234248223851
DVL2	NA
SKAP2	NA
POLR2J	0.0606309898156637
DHX33	0.0311112256943381
MEOX1	0.0941964960277292
LIG3	0.082112798351541
PRKAR2B	-0.0478918730804609
BZRAP1	-0.0400798740306359
PON1	0.0565298386798009
WDR54	0.0622589248400572
CROT	0.0496389673248004
IBTK	-0.0963783035298345
ZNF195	0.116965678358244
MYCBP2	0.00425293241079109
PDK2	-0.0921208211557337
ITGA3	0.0276490192718448
GGNBP2	0.0522792740433481
ASB4	0.128722249899517
GDE1	-0.0781365713958352
OSBPL7	-0.0348837401805913
TMEM98	0.014074490144753
ABCC8	0.0371533018321264
SYNRG	-0.0906209676715605
CACNG3	0.0111461261489659
TMEM132A	0.0604103856014252
TAC1	-0.00712399616549093
ZNF263	0.0383039777183274
SPATA20	0.319744201771702
TNFRSF12A	0.111970089361924
MAP3K9	-0.0685274579977923
JHDM1D	0.0959379892674132
AGK	0.012267721656567
ALDH3B1	-0.0440715822974035
PHTF2	0.0145019324486382
FARP2	0.0888817776190662
USH1C	0.0426013810831943
IFRD1	0.0625776962917881
LGALS14	0.101743382770408
COX10	-0.0290982325727972
GTF2IRD1	-0.0110678474174055
VPS41	0.0629708152835814
ELAC2	0.151007226596395
MYH13	0.0184175861664868
CDKL3	0.00582204547036907
UPP2	-0.0467530570215652
CCDC124	0.0479995043139901
CEACAM21	0.166235577331936
NOS2	0.157534975058824
DNAH9	-0.0177748141482525
KIAA0100	0.0663692784747667
SLC13A2	0.0243668664110626
TRAPPC6A	0.0518780262510708
MATK	0.0086470223731821
CEACAM7	0.0632510970885969
ST7L	0.402727173874518
RPUSD1	-0.000948075776406603
RHBDF1	0.0471541383366698
BAIAP3	-0.0395100896918981
TEAD3	-0.0281370211088442
PSMB1	-0.0104931343343911
CDK11A	0.0385506447599711
TFAP2B	-0.0299923348812734
TFAP2D	-0.0463663568071873
CELSR3	-0.0392145279888969
AASS	-0.0426026920822159
PLEKHG6	-0.069244929158147
MPND	0.0146186787481898
PGLYRP1	-0.029012473678903
ST3GAL1	0.0558435538648548
MMP25	0.105952498523143
IL32	0.0970093312748069
PKD1	-0.0792724259785051
MAPK8IP2	0.01758765936293
MED24	-0.0140058931781992
HEATR5B	-0.114164597864414
RPS20	-0.030315211538764
UBE3C	-0.0146434786401541
REV3L	NA
PAX7	-0.0565814752541811
TRAF3IP3	0.0798668931060443
MLXIPL	0.0731455853420983
ZNF207	-0.0635190507965694
HHATL	-0.0244301496741294
NCAPD2	0.0407239204316097
PHF7	-0.0320420925055506
SEMA3G	-0.0498047648719386
NISCH	-0.0760989853116162
FUZ	0.00139770183132192
PRSS3	-0.00616008585448982
ZNF200	-0.0138711807045834
CD4	0.00432420193356759
LRRC23	0.137689310652928
HFE	-0.00343440401836188
