gene estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue estimate Rsquared pvalue adj_pvalue
CFH 961.574662665055 0.0216184250334109 0.3921511147262 0.941937107086139 527.445775326629 0.585203511988994 0.534935820993997 0.966478891573997 394.896352798644 0.82539679613669 0.554511986516596 0.970312654265093 -418.738410662956 0.878937438697543 0.552347732310002 0.95487557361928 166.633288892955 0.907666911591787 0.884051896030077 0.992053727254334 636.173107513144 0.961192277349241 0.548453529051558 0.985817979170265 93.3607034612314 0.983344358302167 0.937891183055158 0.998898696998017
NFYA -1964.49322736283 0.0445963727008429 0.21632672335031 0.881351873400769 -1225.29161477792 0.331916432672866 0.417959951503439 0.948683262904606 -818.726571604485 0.434979229519274 0.59970800359556 0.973734136759518 490.180433665952 0.800507807688775 0.661153932489313 0.964529770182711 191.441421022903 0.907291375530992 0.862453298393342 0.992053727254334 362.790741651808 0.94632417729662 0.771122695476658 0.997756445741744 1293.07091270578 0.953002848296844 0.736240844346855 0.99611687218254
NIPAL3 -653.113643029038 0.0249410038498776 0.357618105744466 0.933268239901492 -41.4377564270789 0.479992198436878 0.943580232341057 0.99807798855638 -262.530606590663 0.596096332405286 0.679472893551582 0.976712132204015 -117.444390760226 0.765615754570878 0.849165727897564 0.991439732778473 165.65704791966 0.867350262403279 0.802333538382214 0.99158133834357 264.073875051278 0.930463452555002 0.735255415368104 0.997756445741744 10.3668851549902 0.972154046649802 0.990654547645924 0.99917203741262
ENPP4 -385.887264051322 0.00886097695193726 0.585011680599273 0.969237369979349 -761.339285952738 0.239517432634222 0.292770905833597 0.909688846833187 -488.661405190243 0.371948001425765 0.532384570161822 0.966466330200297 -952.797700840509 0.443312241584516 0.334199317387676 0.923611488650873 -569.02028725213 0.780323852970455 0.457695294975379 0.947746751139561 -127.81733580985 0.868453641650764 0.873227257815737 0.997956125616365 -501.215304346038 0.918924272677555 0.639331593399309 0.991475457444098
CFTR -116.415660168117 0.00115126239078882 0.844255461356195 0.993303242340375 220.237414207922 0.214902380394146 0.712477597057251 0.98504065850042 40.8067898320125 0.589819238536115 0.944934832363586 0.992573296097348 -392.1660968464 0.705627614156349 0.56774934641104 0.95487557361928 276.034483291461 0.748216118601738 0.787174122996226 0.99158133834357 304.294701866892 0.991729730633541 0.416585393226322 0.975162603778361 1081.64834463525 0.999228604510263 0.0296436655311441 0.911887334325042
ANKIB1 -1809.1577913812 0.000873969607080221 0.864101793577875 0.993303242340375 -5271.42865199582 0.575831031086619 0.492844161671485 0.958236827255008 -4030.05262766506 0.695906879975503 0.603945547339555 0.975555237604297 -4958.94334095161 0.77008376223677 0.526984563610106 0.948580615431199 -7203.06559754428 0.834678487126028 0.436363683318146 0.944522737062947 -2983.34913560115 0.920933831533326 0.766608391311728 0.997756445741744 17740.81934168 0.956557904071218 0.392654714769906 0.969581269620268
KRIT1 -119.275640810025 0.00540543516503486 0.670006347108673 0.976781710567673 77.5605045769708 0.447420816020997 0.750996382547464 0.98504065850042 -305.490174918183 0.772490548356374 0.117409086362553 0.813225619083659 -245.472334775764 0.839280105360989 0.204457569525838 0.882235244568873 -216.941098706058 0.90089733029029 0.27670693028721 0.923832533051783 -367.583298651173 0.949696872475406 0.123778483441778 0.857467409989607 -376.067905782193 0.991053353317568 0.0670741503157845 0.911887334325042
RAD52 19.3390755913872 0.00780814349884922 0.608318256622932 0.971347854632183 32.7633484075978 0.675660140896218 0.194367582337022 0.866491123301538 30.2370437849939 0.760040285714712 0.259588581795581 0.894526368061277 46.9284092813227 0.890690589123901 0.0395857497287396 0.683040262939866 40.4560430836195 0.910227178745605 0.198686691635393 0.888638748369044 35.7032846633713 0.970412684333863 0.17882805259473 0.894140262973649 41.2954846490349 0.997176237665156 0.0775083687495265 0.918700993539921
LAP3 -2787.53761524666 0.0497266501501731 0.191116966703413 0.874329512787019 192.933679850588 0.54632694194803 0.913723678041208 0.996775834720628 -1196.14390480723 0.703187859793199 0.499380661902104 0.961050147248125 -3429.47098018716 0.861017281004236 0.0412214690068566 0.688968336932164 -3318.33747600919 0.924083847295263 0.0320389046168864 0.639523729435701 -1488.04670387358 0.958887872875324 0.386693390565099 0.970987443656552 -3916.06641806864 0.980578565595138 0.299889340034871 0.964176038564104
HECW1 -77.9872475774431 0.0432118846751323 0.22376636599699 0.886509597245698 -66.1597038112145 0.359569246788483 0.260476720805649 0.892773603567195 -73.0699100608534 0.633515870997296 0.247109546187079 0.892454684560781 -61.5838430489699 0.709580340404692 0.339450453342938 0.924360397286871 -109.531018800622 0.785550490236118 0.172089898517965 0.871438553899612 23.0169482584446 0.964778732936493 0.678633211493477 0.997377122847242 140.340630407961 0.997769881077398 0.0127722471014755 0.911887334325042
