gene estimate Rsquared pvalue adj_pvalue
CFH 289.62198695215 0.436192602107277 0.381202301405083 0.762116685664089
NFYA -231.767258005849 0.246571511993911 0.792557015321774 0.94368245763033
NIPAL3 -675.547110183493 0.229218208961949 0.0156403656873051 0.135441814528779
ENPP4 -248.743450186128 0.135059441501775 0.300527057750171 0.699365772361609
CFTR 315.839331924342 0.0372206135793407 0.280347613422712 0.679007425807338
ANKIB1 -465.801205078913 0.497593925044807 0.862196797271383 0.965662712697736
KRIT1 -14.5864822015813 0.42934309643077 0.78051106732734 0.941378855657109
RAD52 28.3929356640449 0.395444476486552 0.0032600515545972 0.0405134106338911
LAP3 -512.920729093035 0.447244851880328 0.307822027275842 0.704859861458457
HECW1 -11.7937614063328 0.180780486165275 0.225262786635082 0.622411895848707
MAD1L1 1018.10280720528 0.558075687848692 0.691515345479466 0.91372569097031
SNX11 135.134203063656 0.107199794250042 0.0475471535010537 0.281540153459855
TMEM176A 776.503171788455 0.103729827420199 0.0154291608474858 0.134345357773996
M6PR 724.987962731143 0.22750395848871 0.000321499261567603 0.00584216392702136
ALS2 84.8364709906535 0.465674395627485 0.0954411613799518 0.414605176432274
CFLAR 218.947513758198 0.656567328410369 0.066213026351602 0.337049770678251
TFPI 156.510594323245 0.146182336390343 0.670042245548072 0.904648453613171
ARF5 -739.588531759047 0.654508738234654 0.408457298655737 0.782489457769145
POLDIP2 -347.005211836762 0.334966422973573 0.750901247742076 0.932462945231259
PLXND1 -318.135647912948 0.230409745275704 0.688958592858532 0.913664025699667
FKBP4 531.650477553772 0.369197347328005 0.732109634815648 0.928110250649914
KDM1A 1277.65061428547 0.482467830964272 0.00286103956417688 0.0365265517349334
RBM6 85.3529991813066 0.582326103066436 0.0186540581974364 0.151739646825786
RECQL -194.895564272447 0.357823325212014 0.653239751531296 0.899990681102335
SLC22A16 6.16952440936206 0.224829231647053 0.446329341839108 0.802682335668343
ABCB5 8.00209731373641 0.185603044589464 0.155846585937997 0.532562666872428
SLC25A13 326.688957953214 0.450111960890848 0.490459036973738 0.827855962457498
ST7 -206.631304170084 0.135219850986544 0.399443141488696 0.776984718627042
CDC27 210.680080073797 0.456749261674831 0.152407896293589 0.527461006947242
POLR2J 148.998183330964 0.697553958877739 0.00526968619224878 0.0585266825911155
DHX33 90.1113592896408 0.603487624054215 0.408107109426061 0.782489457769145
MEOX1 175.368854411898 0.399898542472468 0.00929478760941282 0.0903426051485278
LIG3 268.544791849421 0.208784145901558 0.0597485977665219 0.317777474709244
PRKAR2B -242.73542590644 0.109323842702271 0.509711335848096 0.836457474265288
BZRAP1 -379.973929903833 0.567300824166644 0.280803473914028 0.679007425807338
PON1 36.3375063438238 0.0260994341904105 0.202597929494447 0.594325363007031
WDR54 137.106294722211 0.272458372135611 0.31950111526353 0.715700523641098
CROT 253.184580556626 0.236161248086966 0.570185465736027 0.870083254674228
IBTK -202.791359088397 0.437764730957574 0.398599865226413 0.776693851879469
ZNF195 120.57490488548 0.276586695594508 0.0181269774742862 0.148840627330655
MYCBP2 424.196996207095 0.59568730827021 0.74041382405162 0.93013822080229
PDK2 -67.7579316436123 0.207792402093125 0.253482510882438 0.652338559705291
ITGA3 725.414275857159 0.0754143000928517 0.437274368217712 0.799170485159229
GGNBP2 58.701581328558 0.210788834114695 0.355920638512799 0.741942620810497
ASB4 1.77299031790605 0.191842753409156 0.0013949033024066 0.0202503238106231
GDE1 -346.400666757028 0.22204300973625 0.526346473781608 0.84705143709462
OSBPL7 36.0090275649295 0.449465202932469 0.632390931354782 0.891772556987993
TMEM98 110.996088951411 0.176795059311824 0.517819635250111 0.841899310146485
ABCC8 48.1381038814705 0.376991939015714 0.839532772703268 0.957450775245821
SYNRG -66.9513307975865 0.314183902383877 0.318626142813617 0.715291331190174
CACNG3 0.284160371426247 0.445096458694946 0.560717522494393 0.865770532010106
TMEM132A 649.995856775327 0.277325425291798 0.0587829276184681 0.314976537259281
TAC1 -6.79528553889229 0.0249814369119465 0.6736937794591 0.906131826335487
ZNF263 173.841720945639 0.274266570417901 0.398635729687459 0.776693851879469
SPATA20 430.646881873569 0.397737117325875 3.51143969712033e-12 2.63059836177666e-10
TNFRSF12A 484.966554480458 0.347088939102631 0.0239477060830898 0.179913655634641
MAP3K9 9.89443746486095 0.350393047116093 0.794421146480161 0.944345745050751
JHDM1D 136.814294126747 0.282844018008771 0.289912874958895 0.689487313581487
AGK 22.2783560910403 0.24988799998181 0.930428218647655 0.987072572421462
ALDH3B1 -67.758633484131 0.162555606565015 0.628137535518655 0.890479354883314
PHTF2 -58.3895099328741 0.326531346128549 0.544314517836007 0.856429876389089
FARP2 60.3098201893953 0.329201745727275 0.0436816394187019 0.26931358588813
USH1C 1.83726704828737 0.127067013717702 0.529051797502365 0.847054173569742
IFRD1 185.056978725398 0.562920810532903 0.0815883574032803 0.382237844330059
LGALS14 1.75867551177779 0.0324457947487039 0.0315816062056478 0.219042392087511
COX10 -49.1440947077809 0.196335375446819 0.442588520252544 0.802052815911787
GTF2IRD1 -860.716784828688 0.320066265038575 0.520840148218288 0.844005587603799
VPS41 608.739243284396 0.403609856162328 0.298937477088664 0.698194854576789
ELAC2 207.731368499571 0.189298550522628 0.00125574286124303 0.018500656885215
MYH13 0.621671581600995 0.115487373684341 0.805897036127063 0.946550564100726
CDKL3 -1.44719876561789 0.108120303930392 0.938548478456936 0.987424964019804
UPP2 -1.14081113372105 0.0827359374042345 0.600010416060143 0.883419919606794
CCDC124 55.7499842397026 0.741563395462721 0.600423615296583 0.883419919606794
CEACAM21 28.9623586749691 0.410981167476037 2.22617478512489e-05 0.000575832376829862
NOS2 11.203412152996 0.150447283795 0.000333790736868421 0.00603788665483402
DNAH9 -10.6859176398952 0.0508413116778943 0.799525271167992 0.944683417939443
KIAA0100 434.853713660583 0.365936018883379 0.848140055228967 0.960262575581597
SLC13A2 84.6675553973245 0.0233181632851967 0.549121402050228 0.859180072359679
TRAPPC6A 308.591437863812 0.564678220963487 0.207018088833573 0.599420750363198
MATK 37.9188083247981 0.285865030540496 0.755109181678939 0.933726108992143
CEACAM7 70.1322238367939 0.0434093951269772 0.250991386807374 0.649648827456766
ST7L 111.812820941887 0.324981368939357 2.00109649784882e-21 3.69551332312034e-19
RPUSD1 344.687402935209 0.563903484544619 0.343050852476329 0.732499817024612
RHBDF1 14343.7417649434 0.428378863864033 0.338502457075709 0.72889604935625
BAIAP3 -237.696663692107 0.251829891756367 0.495155771703527 0.829748156967441
TEAD3 24.5479758512632 0.296940611698909 0.876314895749026 0.968789723951415
PSMB1 63.3891409615245 0.490536345718734 0.882753753262243 0.971175887317189
CDK11A 64.9010370616589 0.395538498347588 0.278272609853985 0.676584023322499
TFAP2B -155.810960217019 0.149058499037128 0.862275318422588 0.965662712697736
TFAP2D -1.07747519334413 0.0536773456463032 0.409406494929506 0.783019502946823
CELSR3 -7.58518767653967 0.295878729858743 0.916947279052734 0.982944593968916
AASS -34.4745118269467 0.50256673593849 0.59486394948586 0.882428156369271
PLEKHG6 -273.445463184563 0.257670736924751 0.14904685884764 0.524869670114904
MPND -60.5868794259672 0.498103497588031 0.504351692196857 0.832652138822296
PGLYRP1 -0.296177863950395 0.0916751516616567 0.492905117164134 0.829496098459712
ST3GAL1 540.959397428521 0.180932978119313 0.195739131706079 0.587135941116902
MMP25 315.287400105021 0.0795370770576656 0.0358756813735553 0.238650272119798
IL32 403.330499068346 0.484672204466658 0.0844060998894647 0.390144842387799
PKD1 -582.969506845041 0.572311712412959 0.334048525801742 0.727632580006057
MAPK8IP2 50.1857791718547 0.45240731053062 0.763668187779967 0.93540874196689
MED24 -6.02514095267227 0.0429537012422358 0.989818494209383 0.997151719708523
HEATR5B -17.566009513393 0.636803573649049 0.959454056371443 0.990899292709797
RPS20 1609.28278258969 0.47645259976172 0.515853574048905 0.840635148645711
UBE3C -665.615435184679 0.413064713219165 0.684957575031566 0.912472421292679
PAX7 -461.456952477182 0.0284910968122845 0.274797592570449 0.672885501881572
TRAF3IP3 59.0776635910526 0.772760274890794 0.139114189674721 0.510256711411992
MLXIPL 27.8931129107711 0.163815872024271 0.0983944141717481 0.421895271564715
ZNF207 -78.9917753182215 0.385910171287339 0.761114574310184 0.934924216765691
HHATL -0.425595275737369 0.0690599711390066 0.899603889658438 0.977792839827219
NCAPD2 -10.5573288865415 0.526246635749744 0.990622077418529 0.997151719708523
PHF7 -2.79165424555897 0.366614517345748 0.877260253845028 0.968847123185538
