gene	PearsonCorrelation	Pearson_pvalue	SpearmanCorrelation	Spearman_pvalue	P_adjustedPvalue	S_adjustedPvalue
CROT	0.599509793751643	0.000111588974011756	0.161906310151252	0.345477069735761	0.011694323299063	0.850217552468147
SPATA20	0.617418597716051	6.03775885523739e-05	0.61981981981982	7.90176443238307e-05	0.00761926214248021	0.0106592077446492
CEACAM21	0.560910678651755	0.000372948735813061	0.467989369698965	0.00399826746787138	0.0274578960063745	0.152702868120852
NOS2	0.557493619360056	0.000412080900401346	0.417943110683245	0.0111983103819285	0.0285320439357534	0.2858016771751
ST7L	0.714694656822898	9.75942418213194e-07	0.704247104247104	3.55623246691969e-06	0.00028280642518889	0.000907694562449712
DDX11	0.763188365027018	6.22342415379507e-08	0.681081081081081	8.73050514948429e-06	2.86423944584074e-05	0.00189742978582125
TDP1	0.565920417884878	0.000321560875838456	0.584041184041184	0.000240789510124347	0.0244261387627192	0.0265343257353928
UTS2	0.844311069381209	9.75730607422065e-11	0.388067761727514	0.0193498019241524	1.90852906811756e-07	0.356654519224905
JKAMP	0.562958215794931	0.000351121712665936	0.468000366784714	0.00399729469826389	0.0264151565374835	0.152702868120852
UHRF1BP1	0.572936394508071	0.000260222869642668	0.448133848133848	0.00658500296867282	0.0209311427754213	0.20858730051375
ZMYND12	0.540694540431004	0.0006627961792951	0.461835503890201	0.0045758611529625	0.0411564865619433	0.167296904956909
RRP15	0.559320624702581	0.000390725408452752	0.594232812255561	0.000132805828618119	0.0282117935376999	0.0157435273198207
CSNK2A2	-0.671041781039841	7.49432369104472e-06	-0.28474739872575	0.0923292901888464	0.00154304180417721	0.628160318641334
TIPIN	0.701474299926435	1.87936192652671e-06	0.36010296010296	0.0316209830681618	0.000445579627671061	0.425821981971253
ASAP3	0.57142334889808	0.000272485414040791	0.443135568852432	0.0067948458221836	0.0215346048429813	0.211804277740097
FAM21A	0.537571476087255	0.000722059445350975	0.48983268983269	0.00271952516822631	0.0434767145389504	0.133763114519764
SERPIND1	0.574467424012476	0.000248319451158885	0.687644382937544	3.59643806696588e-06	0.0206502840862959	0.000907694562449712
SLC5A4	0.600573294310936	0.000107702293125067	0.401287001287001	0.0158960107140511	0.011694323299063	0.336136183315503
FAM118A	0.726042290906278	5.3987072679007e-07	0.487773487773488	0.0028477775320491	0.00016895794265622	0.135814017621697
DCTN6	-0.586909101936466	0.000168258019459538	-0.524716804209194	0.00101845433498135	0.0153075667936212	0.0692903192773398
NOBOX	0.639472773936545	2.68579246687217e-05	0.29925280083229	0.0762232998162042	0.00412032161976625	0.57620395919032
